# ASAS-SN SkyPatrol ID: 266288137752
# ATLAS-REFCAT2: 115441063290536931
# Gaia DR2: 3152916838954800512
# Million Quasars Catalog (MILLIQUAS): WISEA J070518.97+061219.4
# AllWISE AGN Catalog: WISEA J070518.97+061219.4


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2457008.092212,26.0908,0.0914,12.9186,0.0038,17.3103,1.68,V,B,bc
2457008.092212,25.7708,0.0902,12.9320,0.0038,17.3247,1.62,V,B,bd
2457009.0880618,25.3100,0.0946,12.9516,0.0041,17.2725,1.51,V,B,bd
2457009.0880618,26.1560,0.1319,12.9159,0.0055,16.9120,1.52,V,B,bc
2457009.8430539,25.4830,0.0412,12.9442,0.0018,18.1750,1.52,V,G,bd
2457009.8430539,26.0336,0.0482,12.9209,0.0020,18.0051,1.58,V,G,bc
2457010.8278624,25.4670,0.0558,12.9448,0.0024,17.8455,1.62,V,B,bd
2457010.8278624,25.9619,0.0415,12.9239,0.0017,18.1685,1.54,V,B,bc
2457011.8208615,25.5705,0.0475,12.9404,0.0020,18.0198,1.54,V,G,bd
2457011.8208615,26.0218,0.0541,12.9214,0.0023,17.8789,1.53,V,G,bc
2457012.8270131,25.7644,0.1353,12.9322,0.0057,16.8844,1.51,V,G,bd
2457012.8270131,26.2386,0.1379,12.9124,0.0057,16.8634,1.42,V,G,bc
2457021.8028806,25.6931,0.0515,12.9352,0.0022,17.9318,1.54,V,G,bd
2457021.8028806,26.2684,0.0543,12.9112,0.0022,17.8752,1.50,V,G,bc
2457038.002924,26.2405,0.0977,12.9124,0.0040,17.2377,1.49,V,G,bd
2457038.002924,26.5277,0.0859,12.9005,0.0035,17.3772,1.47,V,G,bc
2457039.0058409,25.3932,0.0929,12.9480,0.0040,17.2927,1.52,V,G,bd
2457039.0058409,25.7207,0.1062,12.9341,0.0045,17.1471,1.51,V,G,bc
2457039.7395523,25.3896,0.0687,12.9481,0.0029,17.6196,1.47,V,G,bd
2457039.7395593,25.8589,0.0767,12.9283,0.0032,17.4997,1.40,V,G,bc
2457040.7373265,25.4782,0.0757,12.9444,0.0032,17.5145,1.50,V,G,bd
2457040.7373265,25.9401,0.0820,12.9249,0.0034,17.4284,1.43,V,G,bc
2457042.7270122,25.5013,0.1027,12.9434,0.0044,17.1837,1.64,V,G,bd
2457042.7270122,26.2325,0.0791,12.9127,0.0033,17.4673,1.46,V,G,bc
2457043.7269293,25.7513,0.0895,12.9328,0.0038,17.3327,1.57,V,G,bd
2457043.7269293,25.9361,0.1083,12.9250,0.0045,17.1254,1.41,V,G,bc
2457044.7247584,26.0956,0.0488,12.9184,0.0020,17.9913,1.42,V,G,bc
2457044.7247584,25.6857,0.0784,12.9356,0.0033,17.4761,1.64,V,G,bd
2457045.7192383,26.2627,0.0673,12.9114,0.0028,17.6429,1.53,V,G,bc
2457045.7192431,25.6397,0.0600,12.9375,0.0025,17.7669,1.64,V,G,bd
2457046.7068541,25.6849,0.0316,12.9356,0.0013,18.4635,1.71,V,G,bd
2457046.7068541,26.2062,0.0264,12.9138,0.0011,18.6571,1.58,V,G,bc
2457047.7102548,25.6634,0.0278,12.9365,0.0012,18.6010,1.52,V,G,bd
2457047.7102548,26.2409,0.0276,12.9123,0.0011,18.6103,1.40,V,G,bc
2457048.7212949,25.6186,0.0323,12.9384,0.0014,18.4389,1.66,V,G,bd
2457048.7212949,26.1308,0.0233,12.9169,0.0010,18.7927,1.55,V,G,bc
2457049.8736448,25.2838,0.0592,12.9527,0.0025,17.7813,1.54,V,G,bd
2457049.8750687,26.0256,0.1378,12.9213,0.0058,16.8642,1.48,V,G,bc
2457060.9416486,25.6243,0.1072,12.9381,0.0045,17.1368,1.59,V,B,bc
2457060.9416486,25.5872,0.0972,12.9397,0.0041,17.2429,2.32,V,B,bd
2457061.9584978,26.4779,0.1857,12.9026,0.0076,16.5404,1.53,V,G,bc
2457061.9584978,25.9399,0.1240,12.9249,0.0052,16.9785,2.17,V,G,bd
2457069.8501706,26.1323,0.0592,12.9168,0.0025,17.7810,1.52,V,G,bc
2457069.8501706,25.5077,0.0740,12.9431,0.0032,17.5387,1.57,V,G,bd
2457070.8418621,26.0776,0.0840,12.9191,0.0035,17.4019,1.49,V,G,bc
2457070.8418621,25.5374,0.0626,12.9418,0.0027,17.7207,1.52,V,G,bd
2457071.7730563,26.1458,0.0776,12.9163,0.0032,17.4881,1.58,V,G,bc
2457071.7730563,25.7589,0.0897,12.9325,0.0038,17.3302,1.58,V,G,bd
2457073.7265559,26.4872,0.0622,12.9022,0.0026,17.7281,1.70,V,G,bc
2457073.7265559,25.5274,0.0752,12.9423,0.0032,17.5213,1.63,V,G,bd
2457076.7300455,26.1416,0.0733,12.9164,0.0030,17.5503,1.81,V,G,bc
2457076.7300455,25.3360,0.0816,12.9504,0.0035,17.4328,1.66,V,G,bd
2457077.7186787,26.6179,0.1011,12.8968,0.0041,17.2002,2.05,V,G,bc
2457077.7186787,25.7942,0.1399,12.9310,0.0059,16.8482,1.66,V,G,bd
2457095.8402982,25.9621,0.0753,12.9239,0.0032,17.5207,1.42,V,G,bc
2457095.8402982,25.1550,0.0736,12.9582,0.0032,17.5450,1.58,V,G,bd
2457096.8506369,26.3925,0.0980,12.9061,0.0040,17.2347,1.45,V,G,bc
2457096.8506369,25.5191,0.0709,12.9426,0.0030,17.5862,1.52,V,G,bd
2457097.7854211,26.0960,0.0672,12.9183,0.0028,17.6445,1.49,V,G,bc
2457097.7854211,25.3537,0.0582,12.9497,0.0025,17.7992,1.56,V,G,bd
2457098.835146,26.0764,0.0875,12.9192,0.0036,17.3568,1.46,V,G,bc
2457098.835146,25.7046,0.0732,12.9348,0.0031,17.5513,1.56,V,G,bd
2457099.841329,25.9711,0.0801,12.9236,0.0034,17.4534,1.53,V,G,bc
2457099.841329,25.1257,0.0815,12.9595,0.0035,17.4343,1.64,V,G,bd
2457100.7828022,25.9433,0.0954,12.9247,0.0040,17.2630,1.56,V,G,bc
2457100.7828022,25.6179,0.0852,12.9384,0.0036,17.3869,1.60,V,G,bd
2457101.753426,25.6752,0.0762,12.9360,0.0032,17.5075,1.69,V,G,bd
2457101.753433,26.4547,0.0819,12.9035,0.0034,17.4292,1.69,V,G,bc
2457103.7773772,26.3702,0.0958,12.9070,0.0039,17.2586,1.61,V,G,bc
2457103.7773772,25.9799,0.0833,12.9232,0.0035,17.4104,1.77,V,G,bd
2457104.7677759,26.2360,0.0861,12.9125,0.0036,17.3747,1.62,V,G,bc
2457104.7677759,25.3766,0.0793,12.9487,0.0034,17.4643,1.79,V,G,bd
2457105.7284884,26.2712,0.0615,12.9111,0.0025,17.7405,2.56,V,G,bc
2457105.7284884,25.4635,0.0583,12.9450,0.0025,17.7991,2.37,V,G,bd
2457121.7453805,26.1335,0.0708,12.9168,0.0029,17.5875,1.53,V,G,bc
2457121.7453805,25.5946,0.0806,12.9394,0.0034,17.4459,1.50,V,G,bd
2457122.758125,25.9291,0.0858,12.9253,0.0036,17.3787,1.51,V,G,bc
2457122.758125,25.6272,0.0879,12.9380,0.0037,17.3523,1.56,V,G,bd
2457124.7692201,25.4492,0.0732,12.9456,0.0031,17.5514,1.64,V,G,bd
2457124.7692201,26.2554,0.0783,12.9117,0.0032,17.4781,1.63,V,G,bc
2457125.7524231,25.7375,0.1074,12.9334,0.0045,17.1348,1.48,V,G,bd
2457125.7524231,25.9017,0.0930,12.9265,0.0039,17.2912,1.50,V,G,bc
2457126.7505216,25.3266,0.0889,12.9508,0.0038,17.3399,1.71,V,G,bd
2457126.7505216,26.3694,0.1105,12.9070,0.0046,17.1044,2.03,V,G,bc
2457264.1230677,26.5359,0.2138,12.9002,0.0088,16.3874,1.67,V,G,bd
2457264.1230677,26.1030,0.2080,12.9181,0.0087,16.4171,1.78,V,G,bc
2457270.122394,26.0233,0.1816,12.9214,0.0076,16.5644,1.47,V,G,bc
2457270.122394,26.1812,0.1600,12.9148,0.0066,16.7020,1.52,V,G,bd
2457276.1127788,25.4656,0.0984,12.9449,0.0042,17.2295,1.47,V,G,bd
2457276.1127788,25.7014,0.1076,12.9349,0.0045,17.1332,1.57,V,G,bc
2457285.1123356,25.8834,0.0895,12.9272,0.0038,17.3326,1.90,V,G,bc
2457285.1123356,25.3909,0.1075,12.9481,0.0046,17.1339,1.67,V,G,bd
2457291.0620843,26.0359,0.0982,12.9208,0.0041,17.2319,1.77,V,G,bc
2457291.0620843,25.4138,0.1090,12.9471,0.0047,17.1188,1.72,V,G,bd
2457298.0843247,25.8167,0.1228,12.9300,0.0052,16.9895,1.73,V,G,bc
2457298.0843247,25.7540,0.1035,12.9327,0.0044,17.1747,1.71,V,G,bd
2457304.0956263,25.4663,0.0708,12.9449,0.0030,17.5871,1.49,V,G,bd
2457304.0956263,26.0169,0.0633,12.9216,0.0026,17.7085,1.41,V,G,bc
2457308.047813,25.6617,0.0666,12.9366,0.0028,17.6536,1.45,V,G,bc
2457308.047813,25.6297,0.0697,12.9379,0.0030,17.6049,1.51,V,G,bd
2457316.9933765,25.9338,0.1011,12.9251,0.0042,17.2009,1.50,V,G,bc
2457316.9933765,25.7830,0.0970,12.9314,0.0041,17.2453,1.61,V,G,bd
2457319.9814875,26.1610,0.1616,12.9156,0.0067,16.6915,1.49,V,G,bc
2457319.9814875,25.3208,0.1110,12.9511,0.0048,17.0990,1.58,V,G,bd
2457322.9726285,25.8610,0.2136,12.9282,0.0090,16.3885,1.72,V,G,bd
2457322.9726285,26.3671,0.2282,12.9071,0.0094,16.3167,1.57,V,G,bc
2457324.9796366,25.0983,0.1385,12.9607,0.0060,16.8585,1.54,V,G,bd
2457324.9796366,26.0087,0.1464,12.9220,0.0061,16.7985,1.74,V,G,bc
2457331.1103684,26.2652,0.0821,12.9113,0.0034,17.4271,2.09,V,B,bc
2457331.1103684,25.5581,0.0770,12.9410,0.0033,17.4958,1.74,V,B,bd
2457334.0614461,26.2559,0.0648,12.9117,0.0027,17.6839,1.53,V,G,bc
2457334.0614461,25.0798,0.0750,12.9615,0.0033,17.5243,1.60,V,G,bd
2457342.9187412,26.2379,0.0904,12.9125,0.0037,17.3216,1.42,V,G,bc
2457342.9187412,25.9356,0.1099,12.9250,0.0046,17.1097,1.54,V,G,bd
2457358.0504988,26.0425,0.0777,12.9206,0.0032,17.4859,1.39,V,G,bc
2457358.0504988,25.6217,0.0874,12.9383,0.0037,17.3591,1.53,V,G,bd
2457360.0392643,26.0719,0.0648,12.9193,0.0027,17.6830,1.40,V,G,bc
2457360.0392643,25.5412,0.0752,12.9417,0.0032,17.5213,1.57,V,G,bd
2457362.0284171,26.4100,0.0723,12.9054,0.0030,17.5652,1.43,V,G,bc
2457362.0284171,25.5505,0.0946,12.9413,0.0040,17.2730,1.51,V,G,bd
2457364.9945979,25.7882,0.0761,12.9312,0.0032,17.5084,1.53,V,G,bd
2457364.9945979,25.9835,0.0708,12.9230,0.0030,17.5880,1.45,V,G,bc
2457368.9235269,25.7528,0.0620,12.9327,0.0026,17.7316,1.60,V,G,bd
2457368.924784,26.1041,0.0795,12.9180,0.0033,17.4617,1.45,V,G,bc
2457377.8188014,26.0953,0.1044,12.9184,0.0043,17.1660,1.57,V,G,bc
2457377.8188014,25.8004,0.1173,12.9307,0.0049,17.0393,1.53,V,G,bd
2457384.8756521,26.0612,0.1364,12.9198,0.0057,16.8751,1.43,V,G,bc
2457384.8756521,25.2447,0.1504,12.9544,0.0065,16.7689,1.71,V,G,bd
2457386.9070036,26.1834,0.0868,12.9147,0.0036,17.3660,1.52,V,G,bc
2457386.9070036,25.2812,0.0671,12.9528,0.0029,17.6456,1.71,V,G,bd
2457387.8542635,26.4452,0.0956,12.9039,0.0039,17.2614,1.45,V,G,bc
2457387.8542635,25.5574,0.0597,12.9410,0.0025,17.7725,1.62,V,G,bd
2457391.9938958,25.6170,0.0571,12.9385,0.0024,17.8206,1.46,V,G,bd
2457391.9951422,26.1487,0.0751,12.9162,0.0031,17.5231,1.44,V,G,bc
2457415.9075333,26.3546,0.1014,12.9076,0.0042,17.1971,1.44,V,G,bc
2457415.9075333,25.4799,0.0956,12.9443,0.0041,17.2617,1.61,V,G,bd
2457416.871317,26.1798,0.0719,12.9149,0.0030,17.5708,1.51,V,G,bc
2457416.871317,25.6054,0.0834,12.9390,0.0035,17.4089,1.66,V,G,bd
2457417.78097,26.2814,0.0542,12.9107,0.0022,17.8773,1.70,V,G,bc
2457417.78097,25.6146,0.0646,12.9386,0.0027,17.6873,2.03,V,G,bd
2457420.9018702,26.6544,0.0739,12.8954,0.0030,17.5408,1.44,V,G,bc
2457420.9018702,25.4029,0.0476,12.9476,0.0020,18.0189,1.46,V,G,bd
2457423.9324746,25.9004,0.0933,12.9265,0.0039,17.2881,1.46,V,G,bc
2457423.9324746,25.4921,0.0831,12.9438,0.0035,17.4130,1.54,V,G,bd
2457429.7129557,26.2342,0.1416,12.9126,0.0059,16.8350,1.75,V,G,bc
2457429.7129627,26.1676,0.1544,12.9154,0.0064,16.7406,1.77,V,G,bd
2457430.7553218,25.3161,0.0693,12.9513,0.0030,17.6106,1.66,V,G,bd
2457431.7406848,26.5525,0.0687,12.8995,0.0028,17.6204,2.21,V,G,bc
2457431.7406848,25.5031,0.0725,12.9433,0.0031,17.5621,2.12,V,G,bd
2457432.8227217,25.6467,0.0753,12.9372,0.0032,17.5199,1.47,V,G,bd
2457432.8252614,26.5809,0.1332,12.8984,0.0054,16.9012,1.42,V,G,bc
2457439.896474,25.6313,0.1625,12.9379,0.0069,16.6852,1.57,V,G,bc
2457439.896474,26.0506,0.1619,12.9202,0.0068,16.6893,1.69,V,G,bd
2457441.7471077,26.4181,0.1425,12.9050,0.0059,16.8278,1.60,V,G,bc
2457441.7471077,25.4926,0.1243,12.9437,0.0053,16.9762,2.08,V,G,bd
2457443.8749833,26.3199,0.1066,12.9091,0.0044,17.1429,1.43,V,G,bc
2457443.8749833,25.3729,0.0867,12.9489,0.0037,17.3676,1.55,V,G,bd
2457445.8474639,25.9374,0.0828,12.9250,0.0035,17.4177,1.48,V,G,bc
2457445.8474639,25.4275,0.0627,12.9465,0.0027,17.7198,1.53,V,G,bd
2457447.8476086,26.4376,0.0713,12.9042,0.0029,17.5795,1.45,V,G,bc
2457447.8476086,25.5083,0.0748,12.9431,0.0032,17.5274,1.58,V,G,bd
2457450.84319,26.1392,0.0642,12.9166,0.0027,17.6938,1.47,V,G,bc
2457450.84319,25.7727,0.0674,12.9319,0.0028,17.6400,1.54,V,G,bd
2457454.7389227,26.3382,0.0690,12.9083,0.0028,17.6157,1.54,V,G,bc
2457454.7389227,25.7272,0.0618,12.9338,0.0026,17.7350,1.58,V,G,bd
2457459.8086801,26.3542,0.0667,12.9077,0.0028,17.6514,1.42,V,G,bc
2457459.8086801,25.7215,0.0825,12.9340,0.0035,17.4210,1.53,V,G,bd
2457468.7952773,26.3978,0.1272,12.9059,0.0052,16.9515,1.45,V,G,bc
2457468.7952773,25.7789,0.1211,12.9316,0.0051,17.0043,1.55,V,G,bd
2457475.7853776,26.4502,0.0659,12.9037,0.0027,17.6658,1.46,V,G,bc
2457475.7853776,25.2718,0.0711,12.9532,0.0031,17.5832,1.53,V,G,bd
2457479.7904355,26.3606,0.0515,12.9074,0.0021,17.9336,1.71,V,G,bc
2457479.7904355,25.6985,0.0641,12.9350,0.0027,17.6948,1.73,V,G,bd
2457481.7712884,25.2830,0.0579,12.9527,0.0025,17.8057,1.77,V,G,bd
2457489.7468634,25.3171,0.0640,12.9512,0.0027,17.6974,1.72,V,G,bd
2457489.7468751,26.2521,0.0677,12.9119,0.0028,17.6367,1.64,V,G,bc
2457638.1122559,26.5162,0.0858,12.9010,0.0035,17.3790,1.55,V,G,bc
2457638.1122559,25.8924,0.0738,12.9269,0.0031,17.5423,1.50,V,G,bd
2457646.0881495,26.3576,0.0740,12.9075,0.0031,17.5397,1.42,V,G,bc
2457646.0881495,25.6150,0.0882,12.9385,0.0037,17.3490,1.54,V,G,bd
2457654.1406567,26.3109,0.1463,12.9094,0.0060,16.7994,1.52,V,G,bc
2457654.1406637,25.6670,0.1304,12.9363,0.0055,16.9239,1.70,V,G,bd
2457659.1134544,26.3809,0.0813,12.9066,0.0033,17.4372,1.54,V,G,bc
2457659.1134544,25.2362,0.0734,12.9547,0.0032,17.5478,1.58,V,G,bd
2457669.0849287,25.9601,0.0722,12.9240,0.0030,17.5657,1.51,V,G,bc
2457669.0849287,25.5228,0.0685,12.9425,0.0029,17.6230,1.46,V,G,bd
