# ASAS-SN SkyPatrol ID: 609886184506
# ATLAS-REFCAT2: 33381767989757865
# Gaia DR2: 5334823481651325440
# TESS Input Catalog (TIC): 324267778


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2457420.6671507,27.8666,0.0700,12.8471,0.0027,17.5998,1.45,V,G,be
2457423.8088115,28.2616,0.0916,12.8318,0.0035,17.3082,1.54,V,G,be
2457427.7464142,27.8457,0.0776,12.8479,0.0030,17.4883,1.61,V,G,be
2457436.7898665,28.1333,0.0724,12.8367,0.0028,17.5634,2.13,V,G,be
2457437.6522321,27.8831,0.0969,12.8464,0.0038,17.2461,1.62,V,G,be
2457440.7749662,28.3683,0.1533,12.8277,0.0059,16.7487,1.49,V,G,be
2457445.8439125,27.5168,0.1090,12.8608,0.0043,17.1191,1.54,V,G,be
2457447.7969202,28.0687,0.0907,12.8392,0.0035,17.3189,1.58,V,G,be
2457448.6225098,27.8639,0.0703,12.8472,0.0027,17.5949,1.52,V,G,be
2457452.7769826,27.7009,0.0891,12.8535,0.0035,17.3374,2.00,V,G,be
2457457.6261775,27.7314,0.0740,12.8524,0.0029,17.5388,1.50,V,G,be
2457458.6625497,28.2300,0.0769,12.8330,0.0030,17.4970,1.49,V,G,be
2457460.6452395,28.0600,0.0641,12.8396,0.0025,17.6960,1.57,V,G,be
2457464.7174287,28.6794,0.1188,12.8159,0.0045,17.0251,1.55,V,B,be
2457467.5319898,27.7628,0.1342,12.8511,0.0053,16.8931,1.62,V,G,be
2457476.8223344,27.8666,0.0996,12.8471,0.0039,17.2163,1.53,V,G,be
2457477.6149714,27.8833,0.0663,12.8464,0.0026,17.6586,1.68,V,G,be
2457479.6488776,28.1755,0.0771,12.8351,0.0030,17.4948,1.72,V,G,be
2457486.7722066,27.8437,0.0732,12.8480,0.0029,17.5509,1.56,V,G,be
2457522.7149505,28.9104,0.0954,12.8071,0.0036,17.2632,1.62,V,B,be
2457550.5397805,27.8319,0.0793,12.8484,0.0031,17.4640,2.15,V,G,be
2457554.4778199,27.2342,0.2217,12.8720,0.0088,16.3479,1.46,V,B,be
2457555.4698996,28.0497,0.1045,12.8400,0.0040,17.1647,1.47,V,G,be
2457559.5898772,27.9672,0.1371,12.8432,0.0053,16.8694,2.19,V,G,be
2457560.4629677,28.1967,0.1293,12.8343,0.0050,16.9335,1.55,V,G,be
2457567.5952054,27.6713,0.0904,12.8547,0.0036,17.3218,1.58,V,G,be
2457575.5714255,28.1820,0.0962,12.8349,0.0037,17.2542,1.73,V,G,be
2457587.5452285,27.7585,0.1275,12.8513,0.0050,16.9486,1.61,V,B,be
2457593.5150791,27.8836,0.0799,12.8464,0.0031,17.4556,1.58,V,G,be
2457598.4989156,27.3494,0.2005,12.8674,0.0080,16.4572,1.72,V,B,be
2457602.4633558,28.1784,0.0826,12.8350,0.0032,17.4194,2.28,V,G,be
2457604.4799092,27.8226,0.0827,12.8488,0.0032,17.4186,2.07,V,G,be
2457706.8600307,27.7003,0.1705,12.8536,0.0067,16.6327,2.09,V,G,be
2457709.8580031,28.1645,0.1481,12.8355,0.0057,16.7862,1.56,V,G,be
2457711.8553426,27.7283,0.2798,12.8525,0.0110,16.0951,1.67,V,B,be
2457713.8488356,28.1001,0.0988,12.8380,0.0038,17.2249,1.58,V,G,be
2457718.8401914,28.2520,0.0971,12.8322,0.0037,17.2448,1.60,V,G,be
2457721.8382649,27.8851,0.0758,12.8464,0.0030,17.5127,1.56,V,G,be
2457723.827777,28.1284,0.0862,12.8369,0.0033,17.3737,1.80,V,G,be
2457727.816237,27.9261,0.0743,12.8448,0.0029,17.5355,1.84,V,G,be
2457730.831947,28.0884,0.0858,12.8385,0.0033,17.3786,2.21,V,G,be
2457738.7880948,27.8360,0.2357,12.8483,0.0092,16.2817,1.65,V,G,be
2457739.7846074,27.7017,0.1012,12.8535,0.0040,17.1991,1.64,V,G,be
2457742.7818681,27.7726,0.0828,12.8507,0.0032,17.4175,1.63,V,G,be
2457745.7930757,28.1890,0.0762,12.8346,0.0029,17.5073,1.65,V,G,be
2457749.7564555,28.2140,0.0693,12.8336,0.0027,17.6105,1.63,V,G,be
2457752.7511839,27.8692,0.1961,12.8470,0.0076,16.4814,1.56,V,G,be
2457753.7469692,28.5615,0.0859,12.8203,0.0033,17.3774,1.64,V,G,be
2457756.7395368,27.7875,0.0869,12.8502,0.0034,17.3646,1.61,V,G,be
2457758.7857798,27.7955,0.1113,12.8498,0.0044,17.0966,1.62,V,G,be
2457760.727918,27.6726,0.0850,12.8547,0.0033,17.3883,1.97,V,G,be
2457762.7199463,28.1152,0.1200,12.8374,0.0046,17.0144,1.54,V,G,be
2457764.7159432,28.0230,0.1393,12.8410,0.0054,16.8525,1.49,V,G,be
2457766.8027277,27.9265,0.1755,12.8447,0.0068,16.6016,1.68,V,G,be
2457768.8401839,28.0072,0.0957,12.8416,0.0037,17.2601,1.74,V,G,be
2457771.7798603,28.0988,0.0878,12.8381,0.0034,17.3537,1.75,V,G,be
2457773.7792244,28.4535,0.1029,12.8244,0.0039,17.1815,1.60,V,G,be
2457777.6787251,28.1124,0.0902,12.8375,0.0035,17.3241,1.58,V,G,be
2457778.7915472,27.6061,0.0883,12.8573,0.0035,17.3478,1.54,V,G,be
2457779.7887082,27.9080,0.1751,12.8455,0.0068,16.6039,1.64,V,G,be
2457780.7018468,28.0978,0.0966,12.8381,0.0037,17.2495,1.54,V,G,be
2457781.6733108,27.6670,0.0933,12.8549,0.0037,17.2873,1.58,V,G,be
2457782.752121,28.1369,0.0923,12.8366,0.0036,17.2999,1.63,V,G,be
2457783.7476501,27.6082,0.0872,12.8572,0.0034,17.3605,1.52,V,G,be
2457784.7888331,27.9044,0.0778,12.8456,0.0030,17.4847,1.54,V,G,be
2457786.7164199,28.0336,0.0754,12.8406,0.0029,17.5193,1.64,V,G,be
2457789.7766034,28.1991,0.0913,12.8342,0.0035,17.3107,1.68,V,G,be
2457790.6884487,27.9432,0.1067,12.8441,0.0041,17.1424,1.73,V,G,be
2457791.8385448,27.7831,0.0641,12.8503,0.0025,17.6952,1.74,V,G,be
2457792.6479321,27.8190,0.1073,12.8489,0.0042,17.1354,1.69,V,G,be
2457795.7150249,28.2692,0.1569,12.8315,0.0060,16.7233,1.71,V,G,be
2457796.7799748,28.5969,0.1756,12.8190,0.0067,16.6008,1.57,V,G,be
2457798.7009638,28.3903,0.1150,12.8269,0.0044,17.0609,1.67,V,G,be
2457800.7035246,27.2882,0.1155,12.8698,0.0046,17.0558,1.57,V,G,be
2457802.8133922,28.1375,0.0906,12.8366,0.0035,17.3199,1.60,V,G,be
2457803.7252437,28.0726,0.0807,12.8391,0.0031,17.4455,1.54,V,G,be
2457804.6926298,27.8363,0.0800,12.8483,0.0031,17.4546,1.56,V,G,be
2457806.6376792,27.7995,0.0668,12.8497,0.0026,17.6503,2.14,V,G,be
2457807.6350318,28.0503,0.0844,12.8399,0.0033,17.3963,1.54,V,G,be
2457816.7578827,27.8196,0.0825,12.8489,0.0032,17.4215,1.49,V,G,be
2457820.725243,28.0799,0.1168,12.8388,0.0045,17.0434,1.54,V,G,be
2457824.6288035,28.1662,0.1945,12.8355,0.0075,16.4901,1.56,V,G,be
2457827.7151919,28.5594,0.1393,12.8204,0.0053,16.8527,1.59,V,G,be
2457829.7750556,28.1958,0.1245,12.8343,0.0048,16.9743,1.68,V,G,be
2457830.6790026,28.4071,0.1271,12.8262,0.0049,16.9521,1.58,V,G,be
2457831.6780112,28.8540,0.1140,12.8093,0.0043,17.0705,1.67,V,G,be
2457832.6892553,28.5779,0.1164,12.8197,0.0044,17.0474,1.64,V,G,be
2457834.8153885,28.1469,0.0914,12.8362,0.0035,17.3101,1.60,V,G,be
2457835.7618834,28.6814,0.1127,12.8158,0.0043,17.0822,1.61,V,G,be
2457837.7384922,28.3646,0.0800,12.8278,0.0031,17.4542,1.77,V,G,be
2457839.6632996,28.3509,0.0864,12.8284,0.0033,17.3715,1.51,V,G,be
2457843.660002,28.1190,0.0732,12.8373,0.0028,17.5517,1.75,V,G,be
2457845.7724287,27.5277,0.0902,12.8604,0.0036,17.3248,1.82,V,G,be
2457848.788816,28.4367,0.0886,12.8251,0.0034,17.3443,1.57,V,G,be
2457850.5679313,27.7441,0.1188,12.8519,0.0047,17.0252,1.61,V,G,be
2457851.6844661,27.5928,0.1026,12.8578,0.0040,17.1844,2.05,V,G,be
2457853.724677,27.6964,0.1369,12.8537,0.0054,16.8713,1.63,V,G,be
2457855.5935267,28.3869,0.1405,12.8270,0.0054,16.8431,1.60,V,G,be
2457858.7732174,27.7158,0.1150,12.8530,0.0045,17.0602,1.68,V,G,be
2457862.7741483,28.0122,0.0833,12.8414,0.0032,17.4105,1.75,V,G,be
2457863.6842656,28.0312,0.1371,12.8407,0.0053,16.8695,1.47,V,G,be
2457864.6748515,27.9948,0.0844,12.8421,0.0033,17.3970,1.48,V,G,be
2457867.7069329,28.2718,0.1206,12.8314,0.0046,17.0091,1.64,V,G,be
2457870.6328069,27.9883,0.0790,12.8423,0.0031,17.4676,1.58,V,G,be
2457872.5811907,27.8799,0.0933,12.8466,0.0036,17.2879,1.70,V,G,be
2457874.549264,28.1695,0.1080,12.8353,0.0042,17.1293,1.70,V,G,be
2457878.7420718,28.4240,0.2426,12.8256,0.0093,16.2499,1.49,V,B,be
2457879.6013338,27.1437,0.1134,12.8756,0.0045,17.0759,1.56,V,G,be
2457882.6270697,28.4508,0.1212,12.8245,0.0046,17.0036,1.57,V,G,be
2457887.6656978,30.4576,0.4708,12.7505,0.0168,15.5304,1.41,V,B,be
2457890.7109334,28.4240,0.1944,12.8256,0.0074,16.4904,1.57,V,G,be
2457893.7022097,28.2722,0.0911,12.8314,0.0035,17.3133,1.56,V,G,be
2457894.6063295,27.7034,0.1021,12.8534,0.0040,17.1898,1.58,V,G,be
2457896.6498376,28.2456,0.0871,12.8324,0.0034,17.3628,1.51,V,G,be
2457902.6430664,28.0702,0.0819,12.8392,0.0032,17.4296,1.56,V,G,be
2457904.5698769,28.2623,0.1135,12.8318,0.0044,17.0749,1.66,V,G,be
2457906.550515,28.1634,0.0899,12.8356,0.0035,17.3275,1.65,V,B,be
2457913.6421447,28.1202,0.1348,12.8372,0.0052,16.8885,1.68,V,G,be
2457914.480904,27.6831,0.1291,12.8542,0.0051,16.9348,1.74,V,B,be
2457916.5605742,27.7125,0.1190,12.8531,0.0047,17.0237,1.57,V,G,be
2457923.5918364,28.5532,0.1071,12.8206,0.0041,17.1376,1.63,V,G,be
2457932.5873094,27.8031,0.0764,12.8496,0.0030,17.5041,2.07,V,G,be
2457933.5286461,27.6661,0.0669,12.8549,0.0026,17.6483,1.59,V,G,be
2457934.5063566,27.7466,0.0857,12.8518,0.0034,17.3804,2.16,V,G,be
2457935.5350849,27.8979,0.1055,12.8459,0.0041,17.1541,1.52,V,G,be
2457938.5547255,28.5827,0.1329,12.8195,0.0051,16.9038,1.61,V,G,be
2457942.5617782,28.2981,0.1768,12.8304,0.0068,16.5939,1.65,V,G,be
2457944.5556733,28.2250,0.1136,12.8332,0.0044,17.0736,1.55,V,G,be
2457946.5433484,28.3119,0.1134,12.8299,0.0044,17.0759,1.63,V,G,be
2457951.534836,27.6307,0.0997,12.8563,0.0039,17.2160,1.59,V,G,be
2457953.5277541,28.1288,0.0911,12.8369,0.0035,17.3139,2.20,V,G,be
2457957.5177262,27.7065,0.0838,12.8533,0.0033,17.4041,1.55,V,G,be
2457961.5075684,28.2680,0.1202,12.8315,0.0046,17.0123,1.52,V,G,be
2457962.5039357,27.3866,0.1207,12.8659,0.0048,17.0085,1.53,V,B,be
2457968.4828632,28.0965,0.1134,12.8382,0.0044,17.0762,1.73,V,G,be
2457970.4719663,28.0483,0.1388,12.8400,0.0054,16.8560,1.65,V,G,be
2457972.4726698,28.4847,0.1957,12.8233,0.0075,16.4836,1.56,V,G,be
2458074.8573846,28.3089,0.1628,12.8300,0.0063,16.6834,1.64,V,G,be
2458075.8503341,28.7965,0.1040,12.8114,0.0039,17.1695,1.82,V,G,be
2458084.8565509,27.4786,0.1789,12.8623,0.0071,16.5809,1.58,V,G,be
2458085.8410917,27.9039,0.1014,12.8456,0.0039,17.1974,1.36,V,G,be
2458088.8274472,28.1374,0.1007,12.8366,0.0039,17.2049,1.60,V,G,be
2458096.8061728,28.4166,0.1625,12.8259,0.0062,16.6849,1.62,V,G,be
2458100.8224668,27.7801,0.1855,12.8504,0.0073,16.5414,1.45,V,B,be
2458101.8100659,28.1729,0.1017,12.8352,0.0039,17.1940,1.67,V,G,be
2458104.814065,27.6122,0.0854,12.8570,0.0034,17.3841,1.50,V,G,be
2458110.8347651,27.6423,0.1052,12.8558,0.0041,17.1572,1.55,V,G,be
2458121.7879889,27.4801,0.1463,12.8622,0.0058,16.7993,1.54,V,G,be
