asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
,SN2026fjc (ATLAS26cwi),-,13:0:42.99,37:18:34.6,2026-03-19.5,15.97,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.015287, discovered 2026/03/12.080, Type Ia",195.179125,37.30961111111111
ASASSN-26bv,,-,6:2:44.21,-4:11:6.2,2026-03-19.19,15.67,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.3, g>18.3 on 2026-03-14.10, g=17.1 on 2026-03-15.10, g=15.9 on 2026-03-18.09, g=16.0 on 2026-03-19.19",90.68420833333333,-4.1850555555555555
ASASSN-26bt,,-,12:20:27.9,-45:55:38.4,2026-03-19.05,16.24,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.6 on 2026-03-11.88, g=15.6 on 2026-03-13.22, g=16.7 on 2026-03-20.04",185.11625,-45.92733333333333
ASASSN-26bu,,-,7:49:57.3,-56:14:35.1,2026-03-19.19,15.74,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.9, g>18.0 on 2026-03-14.23, g=15.7 on 2026-03-18.02, g=16.1 on 2026-03-19.19",117.48875,-56.24308333333333
,SN 2026eza (ZTF26aajqzih) (ATLAS26cqu) (PS26aqo),-,6:4:29.75,53:23:34,2026-03-18.2,17.48,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.028, discovered 2026/03/03.202, Type Ia",91.12395833333333,53.39277777777778
,AT2026fsf (PSP26I),-,11:54:57.87,69:19:28.9,2026-03-18.14,16.95,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.022422, discovered 2026/03/15.869, Type unknown",178.741125,69.32469444444445
,SN 2026enn (ZTF26aaikqwp),-,10:44:46.95,58:27:29.3,2026-03-18.13,17.53,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0313, discovered 2026/02/25.263, Type Ia",161.19562499999998,58.45813888888889
,AT 2026ezy (ATLAS26cqs),-,20:45:54.04,-73:26:43,2026-03-18.13,16.83,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.050121, discovered 2026/03/07.373, Type unknown",311.47516666666667,-73.44527777777778
ASASSN-26bs,AT 2026fyc,TNS,6:53:18.1,-59:10:49.3,2026-03-18.02,16.93,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",103.32541666666665,-59.18036111111111
ASASSN-26br,,-,7:45:9.29,-62:14:36.2,2026-03-16.16,16.78,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.6, g>17.0 on 2026-03-09.05, g=15.9 on 2026-03-10.23, g=17.2 on 2026-03-16.16",116.28870833333333,-62.24338888888889
,AT 2023uk (Gaia23ahj),-,19:24:27.93,-52:4:36.4,2026-03-16.35,14.2,SDSS,DSS,VIZIER,-,"known transient, z unknown, discovered 2023-01-15.811, Type CV candidate",291.116375,-52.07677777777778
ASASSN-26bq,,-,11:44:44.19,-62:10:45.5,2026-03-15.03,15.31,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=17.6, g>18.1 on 2026-03-10.06, g=17.7 on 2026-03-10.24, g=15.9 on 2026-03-17.22",176.184125,-62.17930555555555
,AT2026fhw (ATLAS26cuz),-,4:52:54.5,-15:20:57.1,2026-03-14.06,-0.22,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/03/09.297, Type unknown",73.22708333333334,-15.349194444444445
,SN2026drr (GOTO26beh),-,11:10:34.24,2:58:48.1,2026-03-14.08,0.2,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/19.602, Type Ia",167.64266666666666,2.980027777777778
ASASSN-26bo,,-,7:26:45.73,-27:45:13.9,2026-03-14.17,13.8,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.6, g>17.9 on 2026-03-11.19, g=13.7 on 2026-03-12.09, g=13.9 on 2026-03-13.18, g=14.1 on 2026-03-14.17",111.69054166666668,-27.75386111111111
