# Dipper literature coordinate list
# Literature search cutoff: 2026-07-16
# Coordinates are decimal degrees, ICRS/J2000-style as published; epochs are mixed and no proper-motion propagation was applied.
# One line per spatially deduplicated source/system (2.0 arcsec cross-paper radius, protected against merging two rows from the same paper).
# master_id | canonical_name | ra_deg | dec_deg | evidence_tier | explicit_dipper | core_yso | recommended_crossmatch | papers
DIP-00001 | Gaia DR3 432345328009409152 | 0.0779345500 | 66.3972796900 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00002 | Gaia DR3 528422646908470528 | 0.1113249800 | 66.4818192400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00003 | Gaia DR3 528573859823454336 | 0.1585855200 | 67.4606872400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00004 | Gaia DR3 432202116625051520 | 0.1647504300 | 65.5233803300 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00005 | Gaia DR3 528608842330867584 | 0.1913622500 | 67.8756423700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00006 | Gaia DR3 528984905368152448 | 0.1933864000 | 67.9758877200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00007 | Gaia DR3 529133889193980032 | 0.2235327600 | 68.8536276400 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00008 | Gaia DR3 528573589239425280 | 0.2606020800 | 67.4781598800 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00009 | Gaia DR3 422768650456041216 | 0.2861582600 | 58.6936809300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00010 | Gaia DR3 528564586988521856 | 0.3140302600 | 67.2760082600 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00011 | Gaia DR3 528992739388622592 | 0.3211296900 | 68.0557968700 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00012 | Gaia DR3 528992881126855680 | 0.3273374300 | 68.0847592200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00013 | Gaia DR3 528986627654519296 | 0.3485945100 | 68.0013591300 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00014 | Gaia DR3 528992022133372672 | 0.3986383000 | 68.1415547500 | automated_secondary_or_tentative | yes | yes | yes | mas2026 (2026)
DIP-00015 | Gaia DR3 528568022957822720 | 0.4064456100 | 67.3247952200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00016 | Gaia DR3 528464771947586560 | 0.4294647600 | 67.0732794100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00017 | Gaia DR3 528429445843754368 | 0.4307320100 | 66.6799054400 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00018 | Gaia DR3 528593792765605504 | 0.4515589400 | 67.4578460100 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00019 | Gaia DR3 528594303866178176 | 0.4660606000 | 67.5312833200 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00020 | Gaia DR3 528602412763568768 | 0.4755553600 | 67.6413359700 | automated_primary | yes | yes | yes | mas2026 (2026)
DIP-00021 | Gaia DR3 528594273801921664 | 0.4779999800 | 67.5137328900 | automated_primary | yes | yes | yes | mas2026 (2026)
