occurrence_id,paper_key,title,year,object_name,alternate_object_names,ra_deg,dec_deg,classification,candidate_quality,population_tier,primary_flag,region,table_role,source_url,retrieval_status,notes,input_dataset
OCC-00001,bouvier1999,Magnetospheric Accretion onto the T Tauri Star AA Tau,1999,AA Tau,,68.7309166667,24.4814444444,AA Tau prototype; periodic inner-disk warp dipper,author_vetted_prototype,young_star_dipper_prototype,yes,Taurus,single_object_prototype,https://ui.adsabs.harvard.edu/abs/1999A%26A...349..619B/abstract,complete,Published J2000 target coordinate; direct prototype-paper provenance.,manual_single_object_discovery
OCC-00002,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 223959618,,99.9228100000,9.7721400000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00003,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 223964667,,99.9968400000,9.4568100000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00004,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 500007252,,100.1629700000,9.8496100000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00005,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 500007315,,100.1721600000,9.8506600000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00006,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 223976747,,100.1881900000,9.4790100000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00007,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 500007120,,100.1979300000,9.8247100000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00008,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 223977953,,100.2078900000,9.6137500000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00009,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 500007209,,100.2108100000,9.9159300000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
OCC-00010,alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,CoRoT 223978308,,100.2132600000,9.7461500000,PII / AA Tau-like,published_candidate,young_star_dipper,yes,,,https://arxiv.org/abs/1005.4384,complete,,yso_dipper_occurrences
