paper_key,title,year,in_supplied_screenshots,scope_role,retrieval_category,access_status,reported_or_expected_candidates,recovered_coordinate_rows,source_url,data_url,notes
carroll1991,Interpreting Epsilon Aurigae,1991,yes,single_object_follow_up,not_attempted,not_attempted,1,0,,,Epsilon Aur is present in the broad inventory.
herbst1994,Catalogue of UBVRI photometry of T Tauri stars and analysis of the causes of their variability,1994,no,follow_up_or_context,candidate_information_not_retrieved,accessed,not a modern vetted dipper list,0,https://doi.org/10.1086/117204,,Do not label the full T Tauri catalog as dippers.
kearns1994,Additional Periodic Variables in NGC 2264,1994,yes,historical_kh15d,not_attempted,not_attempted,1,0,,,Historical KH 15D discovery/context paper; KH 15D is present in the broad inventory.
bouvier1999,Magnetospheric accretion onto the T Tauri star AA Tau,1999,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object: AA Tau,1,https://ui.adsabs.harvard.edu/abs/1999A&A...349..619B/abstract,,The screenshots' KH 15D foundational folder does not replace the missing AA Tau prototype literature.
hamilton2001,Eclipses by a Circumstellar Dust Feature in the Pre-main-sequence Star KH 15D,2001,yes,historical_kh15d,not_attempted,not_attempted,1,0,,,KH 15D is present in the broad inventory.
herbst2002,"Fine Structure in the Circumstellar Environment of a Young, Solar-like Star: The Unique Eclipses of KH 15D",2002,yes,historical_kh15d,not_attempted,not_attempted,1,0,,,KH 15D is present in the broad inventory.
chiang2004,The Circumbinary Ring of KH 15D,2004,yes,historical_kh15d,not_attempted,not_attempted,1,0,https://doi.org/10.1086/422368,,Theory/follow-up; KH 15D is present in the broad inventory.
winn2004,KH 15D: Gradual Occultation of a Pre-main-sequence Binary,2004,yes,historical_kh15d,not_attempted,not_attempted,1,0,,,KH 15D is present in the broad inventory.
alencar2010,Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations,2010,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,23,23,https://arxiv.org/abs/1005.4384,,
moralescalderon2011,"YSOVAR: The First Sensitive, Wide-area, Mid-infrared Photometric Monitoring of the Orion Nebula Cluster",2011,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,41,41,https://arxiv.org/abs/1103.5238,,
mamajek2012,Planetary Construction Zones in Occultation: Discovery of an Extrasolar Ring System Transiting a Young Sun-like Star and Future Prospects for Detecting Eclipses by Circumsecondary and Circumplanetary Disks,2012,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://doi.org/10.1088/0004-6256/143/3/72,https://arxiv.org/abs/1108.4070,Screenshot has a later J1407 constraints paper but omits the discovery paper.
dewit2013,An Active Asteroid Belt Causes the UXOR Phenomenon in RZ Piscium,2013,yes,single_object_follow_up,not_attempted,not_attempted,1,0,https://doi.org/10.1051/0004-6361/201220516,,RZ Psc is present in the broad inventory; this follow-up was not separately mined.
findeisen2013,Disk-related Bursts and Fades in Young Stars,2013,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,29,29,https://arxiv.org/abs/1303.3629,,
rodriguez2013,Occultation of the T Tauri Star RW Aurigae A by Its Tidally Disrupted Disk,2013,no,coordinate_catalog,all_candidate_information_retrieved,accessed,1 object,1,https://doi.org/10.1088/0004-6256/146/5/112,,"Useful for a broad dusty-occultation tier, but not a short-cadence Q/M dipper catalog."
cody2014,CSI 2264: Simultaneous Optical and Infrared Light Curves of Young Disk-bearing Stars in NGC 2264,2014,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,37,37,https://cdsarc.cds.unistra.fr/ftp/J/AJ/147/82/,,"37 unique objects: 35 optical dippers and 7 infrared dippers, with overlap."
gunther2014,YSOVAR: Mid-infrared Variability in the Star-forming Region Lynds 1688,2014,no,context_or_precursor,candidate_information_not_retrieved,accessed,no explicit Cody-style dipper table,0,https://arxiv.org/abs/1408.3063,,Paper was accessible but adopts a different morphology scheme and does not provide a transferable explicit dipper list.
parks2014,Near-infrared Variability in the rho Ophiuchi Molecular Cloud,2014,no,context_or_precursor,candidate_information_not_retrieved,accessed,not stated as a transferable modern dipper list,0,,,Screened through later citations; no modern paper-level dipper membership list was recovered in this pass.
quillen2014,Variability in the 2MASS Calibration Fields: A Search for Transient Obscuration Events,2014,yes,coordinate_catalog,all_candidate_information_retrieved,accessed,34,34,https://arxiv.org/abs/1402.1198,,All relevant candidate rows in the accessible article table were transcribed.
mcginnis2015,CSI 2264: Probing the inner disks of AA Tau-like systems in NGC 2264,2015,no,coordinate_catalog,all_candidate_information_retrieved,accessed,33; 33 total extinction-dominated objects; 23 show AA-Tau-like behavior in at least one epoch,33,https://arxiv.org/abs/1502.07692; https://doi.org/10.1051/0004-6361/201425475,https://arxiv.org/e-print/1502.07692,23 objects show AAT/AATc in at least one epoch; 10 additional objects are aperiodic extinction dominated.; Include the 10 purely aperiodic extinction sources if APD is in scope.
