Dipper literature paper-retrieval summary
Literature search cutoff: 2026-07-16
The nine supplied VizieR records are attached data catalogs, not additional papers.

ALL CANDIDATE INFORMATION RETRIEVED (60)
========================================
- 1999 | Magnetospheric accretion onto the T Tauri star AA Tau | key=bouvier1999 | in_screenshots=no | access=accessed | reported/expected=1 object: AA Tau | recovered_coordinate_rows=1 | The screenshots' KH 15D foundational folder does not replace the missing AA Tau prototype literature.
- 2010 | Accretion dynamics and disk evolution in NGC 2264: a study based on CoRoT photometric observations | key=alencar2010 | in_screenshots=yes | access=accessed | reported/expected=23 | recovered_coordinate_rows=23 | 
- 2011 | YSOVAR: The First Sensitive, Wide-area, Mid-infrared Photometric Monitoring of the Orion Nebula Cluster | key=moralescalderon2011 | in_screenshots=yes | access=accessed | reported/expected=41 | recovered_coordinate_rows=41 | 
- 2012 | Planetary Construction Zones in Occultation: Discovery of an Extrasolar Ring System Transiting a Young Sun-like Star and Future Prospects for Detecting Eclipses by Circumsecondary and Circumplanetary Disks | key=mamajek2012 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | Screenshot has a later J1407 constraints paper but omits the discovery paper.
- 2013 | Disk-related Bursts and Fades in Young Stars | key=findeisen2013 | in_screenshots=yes | access=accessed | reported/expected=29 | recovered_coordinate_rows=29 | 
- 2013 | Occultation of the T Tauri Star RW Aurigae A by Its Tidally Disrupted Disk | key=rodriguez2013 | in_screenshots=no | access=accessed | reported/expected=1 object | recovered_coordinate_rows=1 | Useful for a broad dusty-occultation tier, but not a short-cadence Q/M dipper catalog.
- 2014 | CSI 2264: Simultaneous Optical and Infrared Light Curves of Young Disk-bearing Stars in NGC 2264 | key=cody2014 | in_screenshots=yes | access=accessed | reported/expected=37 | recovered_coordinate_rows=37 | 37 unique objects: 35 optical dippers and 7 infrared dippers, with overlap.
- 2014 | Variability in the 2MASS Calibration Fields: A Search for Transient Obscuration Events | key=quillen2014 | in_screenshots=yes | access=accessed | reported/expected=34 | recovered_coordinate_rows=34 | All relevant candidate rows in the accessible article table were transcribed.
- 2015 | CSI 2264: Probing the inner disks of AA Tau-like systems in NGC 2264 | key=mcginnis2015 | in_screenshots=no | access=accessed | reported/expected=33; 33 total extinction-dominated objects; 23 show AA-Tau-like behavior in at least one epoch | recovered_coordinate_rows=33 | 23 objects show AAT/AATc in at least one epoch; 10 additional objects are aperiodic extinction dominated.; Include the 10 purely aperiodic extinction sources if APD is in scope.
- 2015 | CSI 2264: Characterizing Young Stars in NGC 2264 with Short-duration Periodic Flux Dips | key=stauffer2015 | in_screenshots=yes | access=accessed | reported/expected=18 | recovered_coordinate_rows=18 | 9 main short-duration periodic dip stars plus 9 isolated-dip Appendix objects.
- 2016 | Young Dipper Stars in Upper Sco and rho Oph Observed by K2 | key=ansdell2016 | in_screenshots=yes | access=accessed | reported/expected=10 | recovered_coordinate_rows=10 | 
