event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2015-BLG-0001,BLG01K0126,,0793,clear,,,17:54:43.82,-30:30:46.3,268.6825833333,-30.5128611111,7071.9,9.99,,1.0,,19.33,,,,,,
KMT-2015-BLG-0002,BLG01K0208,,0368,clear,,,17:54:36.66,-30:57:40.5,268.65275,-30.96125,7106.5,5.62,,0.0,,17.53,,,,OB150349  MB15083,,
KMT-2015-BLG-0003,BLG01K0208,,4025,clear,,,17:54:35.26,-30:58:40.4,268.6469166667,-30.9778888889,7121.5,5.62,,1.0,,20.47,,,,,,
KMT-2015-BLG-0004,BLG01K0326,,0834,clear,,,17:54:33.60,-30:31:02.3,268.64,-30.5173055556,7142.5,1.78,,1.0,,18.84,,,,OB150834,,
KMT-2015-BLG-0005,BLG01K0537,,0728,clear,,,17:54:17.02,-30:14:38.5,268.5709166667,-30.2440277778,7073.5,1.33,,1.0,,18.63,,,,OB150109,,
KMT-2015-BLG-0006,BLG01K0603,,2452,clear,,,17:54:10.89,-31:06:12.4,268.545375,-31.1034444444,7185.1,9.99,,1.0,,19.73,,,,OB151172  MB15255,,
KMT-2015-BLG-0007,BLG01K0734,,0458,clear,,,17:53:59.75,-30:19:21.1,268.4989583333,-30.3225277778,7083.7,3.16,,1.0,,17.63,,,,OB150312,,
KMT-2015-BLG-0008,BLG01K0734,,1074,clear,,,17:54:03.47,-30:18:42.6,268.5144583333,-30.3118333333,7177.7,5.62,,1.0,,19.5,,,,,,
KMT-2015-BLG-0009,BLG01K0739,,0516,clear,,,17:54:06.35,-30:11:08.7,268.5264583333,-30.18575,7304.2,31.57,,1.0,,17.44,,,,OB151886,,
KMT-2015-BLG-0010,BLG01K0805,,0619,clear,,,17:53:55.73,-31:02:32.1,268.4822083333,-31.04225,7250.0,13.32,,1.0,,18.47,,,,,,
KMT-2015-BLG-0011,BLG01K0902,,2128,clear,,,17:53:45.72,-31:08:04.5,268.4405,-31.1345833333,7294.3,2.37,,0.0,,19.56,,,,OB152062  MB15523,,
KMT-2015-BLG-0012,BLG01K0911,,1253,clear,,,17:53:46.02,-30:54:10.0,268.44175,-30.9027777778,7109.6,4.21,,1.0,,18.98,,,,OB150476,,
KMT-2015-BLG-0013,BLG01K0930,,2389,clear,,,17:53:48.25,-30:24:22.4,268.4510416667,-30.4062222222,7203.9,5.62,,1.0,,19.28,,,,OB151471,,
KMT-2015-BLG-0014,BLG01K1038,,0286,clear,,,17:53:45.08,-30:12:11.1,268.4378333333,-30.2030833333,7120.6,7.49,,1.0,,16.6,,,,OB150671  MB15113,,
KMT-2015-BLG-0015,BLG01K1106,,4082,clear,,,17:53:36.23,-31:02:01.6,268.4009583333,-31.0337777778,7288.2,5.62,,1.0,,20.79,,,,MB15537,,
KMT-2015-BLG-0016,BLG01K1116,,2519,clear,,,17:53:35.54,-30:45:27.2,268.3980833333,-30.7575555556,7297.8,7.49,,1.0,,19.91,,,,,,
KMT-2015-BLG-0017,BLG01K1330,,0369,clear,,,17:53:17.14,-30:24:16.8,268.3214166667,-30.4046666667,7178.4,9.99,,1.0,,16.45,,,,OB151159,,
KMT-2015-BLG-0018,BLG01K1430,,0545,clear,,,17:53:15.29,-30:25:18.4,268.3137083333,-30.4217777778,7123.4,5.62,,1.0,,17.41,,,,OB150490,,
KMT-2015-BLG-0019,BLG01K1602,,2575,clear,,,17:52:59.30,-31:07:37.6,268.2470833333,-31.1271111111,7120.0,42.09,,1.0,,20.45,,,,OB150571,,
KMT-2015-BLG-0020,BLG01K1701,,1110,clear,,,17:52:48.01,-31:09:08.2,268.2000416667,-31.1522777778,7078.5,9.99,,0.0,,19.38,,,,OB150230,,
KMT-2015-BLG-0021,BLG01K1716,,3012,clear,,,17:52:48.79,-30:46:33.4,268.2032916667,-30.7759444444,7089.2,0.56,,0.0,,19.92,,,,OB150276,,
KMT-2015-BLG-0022,BLG01K1731,,2696,clear,,,17:52:53.69,-30:22:33.1,268.2237083333,-30.3758611111,7114.2,2.37,,1.0,,19.76,,,,OB150558,,
KMT-2015-BLG-0023,BLG01K1820,,3046,clear,,,17:52:44.34,-30:39:57.9,268.18475,-30.6660833333,7095.3,5.62,,1.0,,20.08,,,,,,
KMT-2015-BLG-0024,BLG01K1837,,0939,clear,,,17:52:47.02,-30:14:56.8,268.1959166667,-30.2491111111,7161.8,9.99,,1.0,,18.47,,,,,,
KMT-2015-BLG-0025,BLG01K1939,,0611,clear,,,17:52:36.57,-30:11:29.3,268.152375,-30.1914722222,7222.6,5.62,,1.0,,17.94,,,,OB151619,,
KMT-2015-BLG-0026,BLG01K2026,,1670,clear,,,17:52:32.96,-30:30:20.6,268.1373333333,-30.5057222222,7111.1,3.16,,1.0,,19.97,,,,OB150547,,
KMT-2015-BLG-0027,BLG01K2107,,1061,clear,,,17:52:20.09,-31:00:09.7,268.0837083333,-31.0026944444,7230.5,31.57,,1.0,,19.06,,,,OB151580,,
KMT-2015-BLG-0028,BLG01K2132,,1098,clear,,,17:52:22.80,-30:22:11.1,268.095,-30.36975,7081.6,3.16,,1.0,,19.02,,,,OB150202,,
