source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6575856,srgej163831_7_534020,SRGE J163831.7+534020,SRGE J163831.7+534020,249.633401,53.672931,0.581,59062.0,,xray,tde_candidate,likely,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575883,sdssj1323,SDSSJ1323,SDSSJ1323;SDSSJ1323+48,200.92487499999996,48.45035,0.08754,52975.0,,xray,tde,secure,SDSS J132341.97+482701.3,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575887,2masxj011908693411305,2MASX J01190869-3411305,2MASX J01190869-3411305,19.783333333333328,-34.19166666666666,0.018,55391.0,,xray,tde,secure,GSN 069,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575891,dougie,Dougie,Dougie,182.1994583333333,43.022225,0.191,54848.0,,xray,tde,secure,SDSS J120847.77+430120.1,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575893,vastj215418_2_002442,VAST J215418.2+002442,VAST J215418.2+002442,328.58,0.41,,,,radio,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575903,rxj1624_75,RX J1624+75,RX J1624+75;RXJ1624+7554,246.23624999999996,75.91597222222222,0.0636,48128.0,,xray,tde,secure,RX J1624.9+7554,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575911,vastj093634_7054755,VAST J093634.7-054755,VAST J093634.7-054755,144.14,-5.8,,,,radio,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575915,ugc03317,UGC 03317,UGC 03317,83.407,73.724,0.004136,55461.0,,xray,tde,secure,UGC 3317,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575919,vtj2030,VT J2030,VT J2030,307.6970833333333,4.2252777777777775,0.061,,,radio,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575925,pgc170392,PGC 170392,PGC 170392,336.693,-15.023000000000001,0.016246,53702.0,,xray,tde,secure,6dFGS gJ222646.4-150123,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575933,at2022czy,AT 2022czy,AT 2022czy;ATLAS22gtw;Gaia22cay;PS22bvf,185.504708,16.995561,0.109,59632.49872,,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575935,srgej135514_8_311605,SRGE J135514.8+311605,SRGE J135514.8+311605,208.81257899999997,31.268121,0.1989,59023.0,,xray,tde_candidate,likely,SDSS J135515.01+311605.2,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575941,srgej071310_6_725627,SRGE J071310.6+725627,SRGE J071310.6+725627,108.29383499999999,72.940751,0.104,59133.0,,xray,tde_candidate,likely,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575955,pgc1127938,PGC 1127938,PGC 1127938,19.736,-1.053,0.02,54108.0,,xray,tde,secure,2SLAQ J011844.35-010906.8,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575961,ps113jw,PS1-13jw,PS1-13jw,131.22316666666666,42.96244444444445,0.345,56329.0,,optical,tde,secure,SDSS J084453.56+425744.8,,source=OTTER; TDE TDE TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575974,sdssj1350,SDSSJ1350,SDSSJ1350,207.50629166666667,29.269363888888886,0.0777,,,optical,tde,secure,SDSS J135001.49+291609.7,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575976,pgc015259,PGC 015259,PGC 015259,67.341,-4.76,0.014665,55235.0,,xray,tde,secure,2MFGC 3645,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
