event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
1998-BUL-01,BUL_SC3,469296,17:53:40.36,268.41816667,-30:10:20.1,-30.17225,2450887.185,1998-03-14.69,39.77,,3.263,1.284,,,17.18
1998-BUL-02,BUL_SC21,678389,18:00:40.20,270.1675,-29:19:35.2,-29.32644444,2450890.374,1998-03-17.87,58.644,,2.698,1.078,,,18.042
1998-BUL-03,BUL_SC30,236837,18:01:18.12,270.3255,-29:05:49.9,-29.09719444,2450901.185,1998-03-28.68,45.86,,1.703,0.578,,,17.034
1998-BUL-04,BUL_SC31,513194,18:02:29.02,270.62091667,-28:33:12.5,-28.55347222,2450913.623,1998-04-10.12,17.332,,1.962,0.732,,,17.227
1998-BUL-05,BUL_SC27,568529,17:48:42.80,267.17833333,-35:23:08.5,-35.38569444,2450914.155,1998-04-10.65,19.154,,6.595,2.048,,,18.337
1998-BUL-06,BUL_SC4,568740,17:54:49.35,268.705625,-29:20:25.0,-29.34027778,2450915.884,1998-04-12.38,16.337,,1.430,0.388,,,15.593
1998-BUL-07,BUL_SC33,85552,18:05:02.33,271.25970833,-28:55:17.9,-28.92163889,2450917.097,1998-04-13.60,26.098,,3.460,1.348,,,17.483
1998-BUL-08,BUL_SC3,601945,17:53:36.63,268.402625,-29:31:21.2,-29.52255556,2450923.572,1998-04-20.07,40.187,,1.621,0.525,,,17.354
1998-BUL-09,BUL_SC26,395449,17:47:23.43,266.847625,-35:17:40.9,-35.29469444,2450926.608,1998-04-23.11,31.341,,1.599,0.510,,,17.259
1998-BUL-10,BUL_SC41,428823,17:52:19.07,268.07945833,-32:48:20.8,-32.80577778,2450927.471,1998-04-23.97,49.282,,3.882,1.473,,,18.933
1998-BUL-11,BUL_SC31,24931,18:02:00.24,270.501,-28:57:27.8,-28.95772222,2450930.841,1998-04-27.34,10.171,,2.630,1.050,,,17.674
1998-BUL-12,BUL_SC4,487470,17:54:41.54,268.67308333,-29:46:03.5,-29.76763889,2450959.22,1998-05-25.72,34.778,,1.234,0.228,,,12.932
1998-BUL-13,BUL_SC22,258372,17:56:35.30,269.14708333,-30:56:33.4,-30.94261111,2450944.952,1998-05-11.45,51.046,,3.095,1.227,,,17.002
1998-BUL-14,BUL_SC3,91382,17:53:09.33,268.288875,-30:01:12.1,-30.02002778,2450956.002,1998-05-22.50,38.257,,14.566,2.908,,,16.501
1998-BUL-15,BUL_SC18,594723,18:07:20.83,271.83679167,-27:34:10.8,-27.56966667,2450944.358,1998-05-10.86,18.15,,13.861,2.854,,,18.641
1998-BUL-16,BUL_SC5,63662,17:49:52.76,267.46983333,-29:45:27.2,-29.75755556,2450934.26,1998-04-30.76,15.7,,2.331,0.919,,,17.821
1998-BUL-17,BUL_SC34,144644,17:57:47.60,269.44833333,-29:03:54.3,-29.06508333,2450949.426,1998-05-15.93,7.559,,3.697,1.420,,,16.349
1998-BUL-18,BUL_SC4,267762,17:54:21.79,268.59079167,-29:53:24.0,-29.89,2450971.027,1998-06-06.53,6.959,,4.096,1.531,,,15.464
1998-BUL-19,BUL_SC31,631037,18:02:40.12,270.66716667,-28:56:28.1,-28.94113889,2450965.927,1998-06-01.43,27.877,,4.017,1.510,,,18.863
1998-BUL-20,BUL_SC44,288419,17:49:49.15,267.45479167,-29:49:10.3,-29.81952778,2450967.175,1998-06-02.67,9.488,,1.747,0.606,,,16.819
