# ASAS-SN SkyPatrol ID: 377958261591
# ATLAS-REFCAT2: 98520962931496820
# Gaia DR2: 3006432375118634880


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456625.8637063,21.9382,0.0831,13.1068,0.0041,17.4136,1.58,V,G,bc
2456629.8496301,21.9279,0.0897,13.1073,0.0044,17.3302,1.44,V,G,bc
2456630.9430828,21.4705,0.0813,13.1302,0.0041,17.4365,1.74,V,G,bc
2456631.925601,21.9218,0.0798,13.1076,0.0040,17.4570,1.45,V,G,bc
2456632.909408,21.6147,0.0761,13.1229,0.0038,17.5094,2.93,V,G,bc
2456636.8293918,21.7763,0.1199,13.1148,0.0060,17.0157,1.46,V,G,bc
2456639.9001247,21.8913,0.5807,13.1091,0.0288,15.3024,2.53,V,B,bc
2456640.8364703,21.7987,0.1731,13.1137,0.0086,16.6169,3.29,V,B,bc
2456652.9053044,21.6193,0.0915,13.1227,0.0046,17.3088,2.27,V,G,bc
2456656.878715,21.4290,0.0713,13.1323,0.0036,17.5801,1.60,V,G,bc
2456676.8586992,21.1529,0.1441,13.1464,0.0074,16.8154,2.45,V,G,bc
2456678.8718569,21.7894,0.1041,13.1142,0.0052,17.1690,1.68,V,G,bc
2456700.8377005,21.4403,0.1473,13.1317,0.0075,16.7918,1.91,V,G,bc
2456729.7906099,21.5217,0.1251,13.1276,0.0063,16.9692,2.14,V,G,bc
2456730.7765193,21.5212,0.1553,13.1276,0.0078,16.7342,2.15,V,G,bc
2456740.7590849,21.5087,0.0831,13.1282,0.0042,17.4133,1.44,V,G,bc
2456865.94234,22.2096,0.2146,13.0934,0.0105,16.3833,2.13,V,G,be
2456875.9238905,21.8366,0.3161,13.1118,0.0157,15.9626,1.49,V,B,be
2456882.9039898,22.0503,0.1889,13.1012,0.0093,16.5217,1.57,V,B,be
2456885.1317367,22.4109,0.2109,13.0836,0.0102,16.4020,1.61,V,G,bc
2456892.1308339,21.6377,0.1365,13.1218,0.0069,16.8742,1.85,V,G,bc
2456893.12196,21.8443,0.1115,13.1114,0.0055,17.0944,1.76,V,G,bc
2456896.1250379,21.8465,0.1207,13.1113,0.0060,17.0079,1.81,V,G,bc
2456896.8813984,21.5716,0.1483,13.1251,0.0075,16.7843,1.65,V,B,be
2456899.1028321,21.7858,0.1049,13.1143,0.0052,17.1607,1.74,V,G,bc
2456901.1152647,21.9010,0.0945,13.1086,0.0047,17.2737,1.81,V,G,bc
2456903.1080253,21.9443,0.0851,13.1065,0.0042,17.3877,1.87,V,G,bc
2456905.0998234,21.7939,0.1056,13.1139,0.0053,17.1534,1.65,V,B,bc
2456908.1006572,21.2688,0.1788,13.1404,0.0091,16.5817,1.91,V,G,bc
2456910.0857749,21.0729,0.2301,13.1505,0.0119,16.3077,1.84,V,G,bc
2456911.0846713,22.0300,0.2522,13.1022,0.0124,16.2079,1.79,V,B,bc
2456912.0815577,21.7506,0.1525,13.1161,0.0076,16.7539,1.76,V,B,bc
2456913.0864132,21.9491,0.1552,13.1062,0.0077,16.7351,1.85,V,B,bc
2456914.0766688,21.4306,0.2014,13.1322,0.0102,16.4524,2.09,V,G,bc
2456915.0795752,21.3539,0.1222,13.1361,0.0062,16.9950,1.92,V,G,bc
2456919.0678208,21.8924,0.1102,13.1090,0.0055,17.1068,1.82,V,G,bc
2456920.0677402,21.2571,0.1123,13.1410,0.0057,17.0868,1.69,V,G,bc
2456923.0604715,21.6614,0.1023,13.1206,0.0051,17.1874,1.78,V,G,bc
2456924.066234,21.5380,0.0802,13.1268,0.0040,17.4525,1.66,V,G,bc
2456925.0618503,21.4819,0.0878,13.1296,0.0044,17.3531,1.90,V,G,bc
2456934.82546,21.4853,0.1262,13.1294,0.0064,16.9595,1.55,V,B,be
2456936.0379468,21.3382,0.1417,13.1369,0.0072,16.8342,1.74,V,G,bc
2456938.0383106,21.5488,0.1441,13.1262,0.0073,16.8159,2.04,V,B,bc
2456940.0746009,21.5362,0.1744,13.1269,0.0088,16.6084,1.71,V,B,bc
2456948.7919304,21.5503,0.1097,13.1261,0.0055,17.1118,1.87,V,G,be
2456950.7803636,21.6780,0.1309,13.1197,0.0066,16.9203,1.59,V,G,be
2456951.7794565,21.6835,0.0959,13.1195,0.0048,17.2583,1.46,V,G,be
2456952.7870979,21.7996,0.1129,13.1137,0.0056,17.0806,1.56,V,G,be
2456960.7556306,22.0977,0.1240,13.0989,0.0061,16.9784,1.44,V,B,be
2456967.9496994,21.7654,0.2139,13.1154,0.0107,16.3869,1.82,V,G,bc
2456968.9812508,22.2411,0.2407,13.0919,0.0118,16.2587,1.47,V,B,bc
2456969.7401037,21.6528,0.1858,13.1210,0.0093,16.5396,1.82,V,G,be
2456974.6803906,22.2461,0.1290,13.0916,0.0063,16.9362,1.51,V,G,be
2456977.7289002,21.2364,0.1059,13.1421,0.0054,17.1496,1.71,V,G,be
2456980.7130722,21.5975,0.0889,13.1238,0.0045,17.3402,1.45,V,G,be
2456980.9670986,21.8907,0.0928,13.1091,0.0046,17.2931,1.74,V,G,bc
2456981.9685805,21.5896,0.0867,13.1242,0.0044,17.3668,1.66,V,G,bc
2456982.9679705,21.9170,0.0828,13.1078,0.0041,17.4178,1.57,V,G,bc
2456983.9630144,21.9164,0.0981,13.1079,0.0049,17.2335,1.60,V,B,bc
2456984.9646324,21.4024,0.1238,13.1336,0.0063,16.9806,1.73,V,G,bc
2456986.964763,21.6743,0.0890,13.1199,0.0045,17.3391,1.62,V,G,bc
2456989.9055942,21.7400,0.0877,13.1166,0.0044,17.3547,1.55,V,G,bc
2456991.9533688,21.6332,0.0918,13.1220,0.0046,17.3051,1.49,V,G,bc
2456992.8591777,21.4728,0.1569,13.1301,0.0079,16.7235,1.69,V,G,bc
2456993.8532777,22.3859,0.1963,13.0848,0.0095,16.4802,2.06,V,G,bc
2456998.9275947,22.1473,0.2394,13.0965,0.0117,16.2647,1.44,V,B,bc
2457001.9817218,21.9212,0.1709,13.1076,0.0085,16.6306,1.41,V,G,bc
2457003.9335369,21.7826,0.1126,13.1145,0.0056,17.0837,1.45,V,G,bc
2457006.9355905,21.8536,0.0866,13.1110,0.0043,17.3686,1.80,V,G,bc
2457008.0775348,22.2181,0.1443,13.0930,0.0071,16.8145,2.00,V,G,ba
2457008.9359161,21.8147,0.0960,13.1129,0.0048,17.2570,1.55,V,G,bc
2457009.0569503,23.4371,0.1478,13.0350,0.0069,16.7880,2.17,V,B,bb
2457009.0569503,22.7063,0.1411,13.0694,0.0068,16.8384,1.78,V,B,ba
2457009.8212843,21.7811,0.0448,13.1146,0.0022,18.0846,2.14,V,G,bb
2457009.8212843,21.6653,0.0532,13.1204,0.0027,17.8978,1.75,V,G,ba
2457010.8121138,21.9587,0.0556,13.1058,0.0028,17.8489,1.78,V,B,ba
2457010.8121138,20.7373,0.0734,13.1679,0.0038,17.5481,2.08,V,B,bb
2457011.6829582,21.5804,0.0808,13.1246,0.0041,17.4434,1.43,V,G,be
2457011.8064792,22.8481,0.0900,13.0627,0.0043,17.3263,1.70,V,G,ba
2457011.8064862,20.1919,0.0826,13.1968,0.0044,17.4194,2.16,V,G,bb
2457012.8206866,21.5252,0.1077,13.1274,0.0054,17.1318,2.23,V,G,bb
2457012.8206866,22.1228,0.1279,13.0977,0.0063,16.9453,1.71,V,G,ba
2457013.9089358,21.5064,0.0937,13.1284,0.0047,17.2831,1.74,V,G,bc
2457015.914751,21.7902,0.0871,13.1141,0.0043,17.3623,1.72,V,G,bc
2457018.9175677,21.6827,0.0982,13.1195,0.0049,17.2319,1.70,V,G,bc
2457020.6667632,22.0136,0.1058,13.1031,0.0052,17.1511,1.63,V,G,be
2457021.8676195,21.9963,0.0670,13.1039,0.0033,17.6474,2.37,V,G,bb
2457021.8676195,22.2822,0.0836,13.0899,0.0041,17.4066,1.69,V,G,ba
2457030.6552972,21.4714,0.1504,13.1301,0.0076,16.7692,1.68,V,G,be
