# ASAS-SN SkyPatrol ID: 60130040391
# ATLAS-REFCAT2: 176313383843808207
# Gaia DR2: 2007630583622776448
# TESS Input Catalog (TIC): 64556493


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2457007.7191625,40.3254,0.0610,12.4458,0.0016,17.7488,2.02,V,G,ba
2457008.7239573,39.8744,0.0528,12.4580,0.0014,17.9056,2.09,V,G,ba
2457009.7224121,40.7174,0.0744,12.4353,0.0020,17.5340,2.00,V,G,ba
2457010.7209689,40.8845,0.0715,12.4309,0.0019,17.5771,2.08,V,B,ba
2457011.7180689,39.0491,0.0660,12.4808,0.0018,17.6641,2.11,V,G,ba
2457012.7083641,40.7720,0.0714,12.4339,0.0019,17.5784,2.06,V,G,ba
2457137.1277724,40.4792,0.1190,12.4417,0.0032,17.0235,1.64,V,G,ba
2457138.1239576,40.5226,0.0799,12.4405,0.0021,17.4564,1.61,V,G,ba
2457148.0955565,39.7097,0.1375,12.4625,0.0038,16.8670,1.98,V,G,ba
2457154.0888133,40.7082,0.0972,12.4356,0.0026,17.2427,1.99,V,B,ba
2457158.0895794,40.8841,0.0786,12.4309,0.0021,17.4734,2.29,V,G,ba
2457161.0678514,40.2167,0.0540,12.4488,0.0015,17.8822,1.72,V,G,ba
2457162.0757658,41.2160,0.1305,12.4221,0.0034,16.9235,1.84,V,B,ba
2457164.0879507,40.2147,0.0629,12.4488,0.0017,17.7160,2.05,V,G,ba
2457172.0467928,40.1115,0.0656,12.4516,0.0018,17.6695,1.70,V,G,ba
2457174.0442848,40.9740,0.1153,12.4285,0.0031,17.0578,1.69,V,G,ba
2457180.065578,41.2295,0.1285,12.4218,0.0034,16.9400,1.98,V,G,ba
2457183.01832,40.1254,0.1044,12.4512,0.0028,17.1654,1.96,V,G,ba
2457185.0662235,40.6788,0.0809,12.4364,0.0022,17.4431,2.16,V,G,ba
2457190.0996363,40.7215,0.0650,12.4352,0.0017,17.6806,1.97,V,G,ba
2457194.0001609,40.0265,0.0513,12.4539,0.0014,17.9369,1.96,V,G,ba
2457197.0237973,39.8685,0.0522,12.4582,0.0014,17.9189,2.03,V,G,ba
2457202.9486238,40.4865,0.1345,12.4415,0.0036,16.8907,1.70,V,G,ba
2457207.0180732,39.8272,0.1355,12.4593,0.0037,16.8824,1.64,V,G,ba
2457209.9770831,39.7140,0.1136,12.4624,0.0031,17.0739,1.95,V,G,ba
2457213.0690354,40.5779,0.0828,12.4391,0.0022,17.4170,1.69,V,G,ba
2457221.9303477,40.2016,0.0667,12.4492,0.0018,17.6521,1.66,V,G,ba
2457226.9861834,41.0090,0.0756,12.4276,0.0020,17.5164,1.63,V,G,ba
2457230.8799529,39.8606,0.0571,12.4584,0.0016,17.8209,1.62,V,G,ba
2457232.9732881,39.8785,0.3548,12.4579,0.0097,15.8375,1.70,V,B,ba
2457233.9073652,40.5130,0.1856,12.4408,0.0050,16.5411,1.98,V,G,ba
2457238.0071506,40.6851,0.1326,12.4362,0.0035,16.9058,1.59,V,G,ba
2457240.9513704,40.7962,0.0906,12.4332,0.0024,17.3195,1.78,V,G,ba
2457242.8548933,40.6817,0.0765,12.4363,0.0020,17.5033,1.71,V,G,ba
2457245.9964733,40.7313,0.0718,12.4350,0.0019,17.5720,1.55,V,G,ba
2457255.831391,39.9744,0.0656,12.4553,0.0018,17.6705,1.67,V,G,ba
2457263.9440256,39.4780,0.1266,12.4689,0.0035,16.9559,1.73,V,G,ba
2457271.0215735,41.0258,0.0867,12.4271,0.0023,17.3674,1.72,V,G,ba
2457272.8849238,40.6809,0.0573,12.4363,0.0015,17.8170,1.64,V,G,ba
2457275.9155088,40.8065,0.0615,12.4330,0.0016,17.7398,1.67,V,G,ba
2457288.8958977,40.8786,0.0713,12.4310,0.0019,17.5803,1.63,V,G,ba
2457297.8871242,40.4296,0.0938,12.4430,0.0025,17.2818,1.78,V,G,ba
2457298.7822579,40.3087,0.1159,12.4463,0.0031,17.0519,1.67,V,G,ba
2457300.8368165,39.8311,0.0550,12.4592,0.0015,17.8612,1.72,V,G,ba
2457305.9091362,40.4396,0.0529,12.4428,0.0014,17.9028,1.61,V,G,ba
2457309.8140175,40.7555,0.0667,12.4343,0.0018,17.6514,1.63,V,G,ba
2457314.8054068,39.2985,0.0894,12.4738,0.0025,17.3338,1.71,V,G,ba
2457317.8651217,40.4851,0.0872,12.4415,0.0023,17.3606,1.64,V,G,ba
2457319.882935,40.1627,0.1200,12.4502,0.0032,17.0145,1.96,V,G,ba
2457322.7199816,39.3851,0.1401,12.4715,0.0039,16.8465,2.01,V,B,ba
2457323.81185,40.7084,0.1045,12.4356,0.0028,17.1647,1.98,V,G,ba
2457327.855578,39.8676,0.0511,12.4582,0.0014,17.9411,1.61,V,G,ba
2457328.7637611,40.5008,0.0871,12.4411,0.0023,17.3620,1.73,V,B,ba
2457329.8594499,39.6216,0.0530,12.4650,0.0015,17.9025,1.69,V,B,ba
2457330.8490358,39.9419,0.0463,12.4562,0.0013,18.0495,2.10,V,B,ba
2457333.7696525,40.3314,0.0627,12.4457,0.0017,17.7195,1.69,V,G,ba
2457344.7321685,40.4466,0.0883,12.4426,0.0024,17.3478,2.21,V,G,ba
2457357.771797,40.5947,0.0662,12.4386,0.0018,17.6595,1.70,V,G,ba
