tde_id,name,lc_process_status,lc_process_error,lc_path,primary_band,lc_n_points,lc_n_good,lc_n_bands,lc_jd_start,lc_jd_end,lc_span_days,peak_mjd_used,peak_source,redshift,baseline_flux,baseline_n,baseline_method,peak_flux,peak_excess_flux,peak_mag,event_n,rise_n,fallback_n,rise_time_half_rest,rise_slope_flux_per_day,fallback_alpha,fallback_alpha_r2,fallback_tau_exp_rest,fallback_t_half_rest,fallback_t_1mag_rest,quality_flag
asassn14ae,ASASSN-14ae,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.043671,,,,,,,,,,,,,,,,,process_failed
asassn14li,ASASSN-14li,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.0206,,,,,,,,,,,,,,,,,process_failed
asassn15oi,ASASSN-15oi,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.0484,,,,,,,,,,,,,,,,,process_failed
at2016fnl,AT 2016fnl,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.0163,,,,,,,,,,,,,,,,,process_failed
at2017bcc,AT 2017bcc,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.133,,,,,,,,,,,,,,,,,process_failed
at2018dyk,AT 2018dyk,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.03672,,,,,,,,,,,,,,,,,process_failed
at2019dsg,AT 2019dsg,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.0512,,,,,,,,,,,,,,,,,process_failed
at2019von,AT 2019von,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2020afhd,AT 2020afhd,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.024,,,,,,,,,,,,,,,,,process_failed
at2020pom,AT 2020pom,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2020ral,AT 2020ral,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2020svp,AT 2020svp,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2020ual,AT 2020ual,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2020ybf,AT 2020ybf,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2021ehb,AT 2021ehb,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.017,,,,,,,,,,,,,,,,,process_failed
at2021hfu,AT 2021hfu,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2021msu,AT 2021msu,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,process_failed
at2021ncq,AT 2021ncq,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2023clx,AT 2023clx,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.01107,,,,,,,,,,,,,,,,,process_failed
at2023fro,AT 2023fro,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2023lli,AT 2023lli,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,process_failed
at2023uta,AT 2023uta,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2024aegq,AT 2024aegq,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,process_failed
at2024gfa,AT 2024gfa,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
at2024kbl,AT 2024kbl,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,,,process_failed
css100217,CSS100217,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,0.147,,,,,,,,,,,,,,,,,process_failed
