tde_id,aliases,discovery_mjd,peak_mjd_ref,class_label,confidence,asassn_source_id,asassn_sep_arcsec,asassn_mean_mag,lc_path,lc_fetch_status,lc_fetch_error,lc_stats,external_stats,derived_stats,feature_layer_version
asassn14ae,ASASSN-14ae;iPTF14aiv,56682.0,56684.91651619998,tde,secure,,,,,unresolved,,{},"{""dec_deg"":34.09788888888889,""name"":""ASASSN-14ae"",""ra_deg"":167.16712499999997,""redshift"":0.043671}",{},1
asassn14li,ASASSN-14li,56983.0,56989.46299736496,tde,secure,,,,,unresolved,,{},"{""dec_deg"":17.77402083333333,""name"":""ASASSN-14li"",""ra_deg"":192.06343875,""redshift"":0.0206}",{},1
asassn15oi,ASASSN-15oi,57248.0,57248.158280000025,tde,secure,,,,,unresolved,,{},"{""dec_deg"":-30.75627777777778,""name"":""ASASSN-15oi"",""ra_deg"":309.78720833333324,""redshift"":0.0484}",{},1
at2016fnl,AT 2016fnl;iPTF 16fnl,57626.0,57629.45019999998,tde,secure,,,,,unresolved,,{},"{""dec_deg"":32.89375,""name"":""AT 2016fnl"",""ra_deg"":7.487666666666666,""redshift"":0.0163}",{},1
at2017bcc,AT 2017bcc;ZTF20aacbwbm;SN 2017bcc;PS17bgn,57802.0,,ant,likely,,,,,unresolved,,{},"{""dec_deg"":29.9957852105,""name"":""AT 2017bcc"",""ra_deg"":172.97078162,""redshift"":0.133}",{},1
at2018dyk,AT 2018dyk;ZTF18aajupnt;WTP18aamced,58269.31,,tde,secure,,,,,unresolved,,{},"{""dec_deg"":44.535533,""name"":""AT 2018dyk"",""ra_deg"":233.283417,""redshift"":0.03672}",{},1
at2019dsg,AT 2019dsg;ATLAS19klx;ZTF19aapreis;BranStark,58582.0,58603.86600000004,tde,secure,,,,,unresolved,,{},"{""dec_deg"":14.204405555555557,""name"":""AT 2019dsg"",""ra_deg"":314.26237499999996,""redshift"":0.0512}",{},1
at2019von,AT 2019von;ASASSN-19abt,58808.27,,possible_tde,possible,,,,,unresolved,,{},"{""dec_deg"":-11.629944444444446,""name"":""AT 2019von"",""ra_deg"":32.4485}",{},1
at2020afhd,AT 2020afhd;ZTF20abwtifz;ATLAS24btc,60344.22,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":-2.1519999999999997,""name"":""AT 2020afhd"",""ra_deg"":48.39891666666667,""redshift"":0.024}",{},1
at2020pom,AT 2020pom;ASASSN-20il,59038.18,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":-22.81447222222222,""name"":""AT 2020pom"",""ra_deg"":75.79708333333332}",{},1
at2020ral,AT 2020ral;ASASSN-20jr,59071.24,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":54.76266666666667,""name"":""AT 2020ral"",""ra_deg"":229.32366666666667}",{},1
at2020svp,AT 2020svp;ASASSN-20lk,59100.72,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":-30.04877777777778,""name"":""AT 2020svp"",""ra_deg"":207.63666666666663}",{},1
at2020ual,AT 2020ual;ASASSN-20mi,59115.01,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":-49.07666666666667,""name"":""AT 2020ual"",""ra_deg"":318.91795833333333}",{},1
at2020ybf,AT 2020ybf;ASASSN-20nh,59142.29,,possible_tde,possible,,,,,unresolved,,{},"{""dec_deg"":-67.05522222222221,""name"":""AT 2020ybf"",""ra_deg"":67.44633333333333}",{},1
at2021ehb,AT 2021ehb;ATLAS21jdy;ZTF21aanxhjv;BoKatan,59274.14309030093,59310.95833333334,tde,secure,,,,,unresolved,,{},"{""dec_deg"":40.3112356,""name"":""AT 2021ehb"",""ra_deg"":46.9492777,""redshift"":0.017}",{},1
at2021hfu,AT 2021hfu;ASASSN-21ek,59302.16,,possible_tde,possible,,,,,unresolved,,{},"{""dec_deg"":34.93244444444444,""name"":""AT 2021hfu"",""ra_deg"":123.32683333333334}",{},1
at2021msu,AT 2021msu;ATLAS21pis,59366.1,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":9.227666666666666,""name"":""AT 2021msu"",""ra_deg"":223.63625,""redshift"":0.05}",{},1
at2021ncq,AT 2021ncq;ASASSN-21iu,59357.15,,possible_tde,possible,,,,,unresolved,,{},"{""dec_deg"":-41.916694444444445,""name"":""AT 2021ncq"",""ra_deg"":16.79629166666667}",{},1
at2023clx,AT 2023clx;ZTF18aabkvpi;ASASSN-23bd;AT 20203clx,59997.21,60001.000000000015,tde,secure,,,,,unresolved,,{},"{""dec_deg"":15.327375,""name"":""AT 2023clx"",""ra_deg"":175.039179,""redshift"":0.01107}",{},1
at2023fro,AT 2023fro;ASASSN-23cs,60048.39,,tde,secure,,,,,unresolved,,{},"{""dec_deg"":-48.23894444444444,""name"":""AT 2023fro"",""ra_deg"":316.1134583333333}",{},1
at2023lli,AT 2023lli,60118.09299999988,,tde,secure,,,,,unresolved,,{},"{""dec_deg"":40.54445,""name"":""AT 2023lli"",""ra_deg"":344.414458,""redshift"":0.036}",{},1
at2023uta,AT 2023uta;ASASSN-23hb,60228.38,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":54.95,""name"":""AT 2023uta"",""ra_deg"":107.40925}",{},1
at2024aegq,AT 2024aegq;GOTO24jcl,60675.01,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":-57.35527777777778,""name"":""AT 2024aegq"",""ra_deg"":84.19975,""redshift"":0.1}",{},1
at2024gfa,AT 2024gfa;ASASSN-24cn,60410.33,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":27.66197222222222,""name"":""AT 2024gfa"",""ra_deg"":160.69745833333332}",{},1
at2024kbl,AT 2024kbl;ASASSN-24dm,60462.34,,tde_candidate,likely,,,,,unresolved,,{},"{""dec_deg"":9.824194444444444,""name"":""AT 2024kbl"",""ra_deg"":202.84754166666667}",{},1
css100217,CSS100217;CSS100217:102913+404220,52639.0,,tde,secure,,,,,unresolved,,{},"{""dec_deg"":40.70555555555555,""name"":""CSS100217"",""ra_deg"":157.30416666666662,""redshift"":0.147}",{},1
