tde_id,lc_process_status,lc_process_error,lc_path,lc_n_points,lc_n_good,lc_n_bands,lc_jd_start,lc_jd_end,lc_span_days,peak_mjd_used,peak_source,baseline_flux,baseline_n,baseline_method,peak_flux,peak_excess_flux,peak_mag,event_n,rise_n,fallback_n,rise_time_half_rest,rise_slope_flux_per_day,fallback_alpha,fallback_alpha_r2,fallback_tau_exp_rest,fallback_t_half_rest,fallback_t_1mag_rest,quality_flag,lc_stats,external_stats,derived_stats,feature_layer_version
asassn14ae,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""ASASSN-14ae"",""redshift"":0.043671}",{},1
asassn14li,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""ASASSN-14li"",""redshift"":0.0206}",{},1
asassn15oi,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""ASASSN-15oi"",""redshift"":0.0484}",{},1
at2016fnl,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2016fnl"",""redshift"":0.0163}",{},1
at2017bcc,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2017bcc"",""redshift"":0.133}",{},1
at2018dyk,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2018dyk"",""redshift"":0.03672}",{},1
at2019dsg,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2019dsg"",""redshift"":0.0512}",{},1
at2019von,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2019von""}",{},1
at2020afhd,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020afhd"",""redshift"":0.024}",{},1
at2020pom,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020pom""}",{},1
at2020ral,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020ral""}",{},1
at2020svp,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020svp""}",{},1
at2020ual,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020ual""}",{},1
at2020ybf,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2020ybf""}",{},1
at2021ehb,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2021ehb"",""redshift"":0.017}",{},1
at2021hfu,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2021hfu""}",{},1
at2021msu,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2021msu"",""redshift"":0.05}",{},1
at2021ncq,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2021ncq""}",{},1
at2023clx,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2023clx"",""redshift"":0.01107}",{},1
at2023fro,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2023fro""}",{},1
at2023lli,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2023lli"",""redshift"":0.036}",{},1
at2023uta,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2023uta""}",{},1
at2024aegq,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2024aegq"",""redshift"":0.1}",{},1
at2024gfa,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2024gfa""}",{},1
at2024kbl,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""AT 2024kbl""}",{},1
css100217,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""name"":""CSS100217"",""redshift"":0.147}",{},1
