tde_id,aliases,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,log_mbh,notes,include_flag,mag_value,mag_band,mag_basis,discovery_year,distance_modulus,abs_mag_proxy,readiness_score,science_flags,lc_process_status,lc_process_error,lc_path,lc_n_points,lc_n_good,lc_n_bands,lc_jd_start,lc_jd_end,lc_span_days,peak_mjd_used,peak_source,baseline_flux,baseline_n,baseline_method,peak_flux,peak_excess_flux,peak_mag,event_n,rise_n,fallback_n,rise_time_half_rest,rise_slope_flux_per_day,fallback_alpha,fallback_alpha_r2,fallback_tau_exp_rest,fallback_t_half_rest,fallback_t_1mag_rest,quality_flag,lc_stats,external_stats,derived_stats,feature_layer_version
asassn14ae,ASASSN-14ae;iPTF14aiv,56682.0,56684.91651619998,optical,tde,secure,,"sources=asassn_transients,manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2014MNRAS.445.3263H); mag_value=16.928; mag_band=V; source=manyTDE; spectral_type=H; paper_ref=2014MNRAS.445.3263H; mag_basis=manyTDE flux_Jy AB approximation; source=input/asassn_transients.csv; Update (May 2015): this was most likely a tidal disruption event, see Holoien et al. (2014, MNRAS, 445, 3263); original comment: confirmed transient, most likely overluminous Type II SN at z=0.043671; mag_basis=ASAS-SN v_g_mag; mag_value=17.160; mag_band=ASAS-SN V/g",True,16.928,V,OTTER optical photometry (2014MNRAS.445.3263H),2014.0657534246575,36.430761307328694,-19.502761307328697,10,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":34.09788888888889,""host_name"":""SDSS J110840.11+340552.2"",""name"":""ASASSN-14ae"",""ra_deg"":167.16712499999997,""redshift"":0.043671}",{},1
asassn14li,ASASSN-14li,56983.0,56989.46299736496,optical,tde,secure,,"sources=asassn_transients,manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2016MNRAS.455.2918H); mag_value=16.668; mag_band=V; source=manyTDE; spectral_type=H+He; paper_ref=2015Natur.526..542M; mag_basis=manyTDE flux_Jy AB approximation; source=input/asassn_transients.csv; TDE candidate, z=0.0206, see ATel 6777 for details; mag_basis=ASAS-SN v_g_mag; mag_value=16.510; mag_band=ASAS-SN V/g",True,16.668,V,OTTER optical photometry (2016MNRAS.455.2918H),2014.890410958904,34.76209502734439,-18.094095027344387,10,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":17.77402083333333,""host_name"":""SDSS J124815.23+174626.4"",""name"":""ASASSN-14li"",""ra_deg"":192.06343875,""redshift"":0.0206}",{},1
asassn15oi,ASASSN-15oi,57248.0,57248.158280000025,optical,tde,secure,,"sources=asassn_transients,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2024arXiv240719019H); mag_value=15.974; mag_band=v; source=input/asassn_transients.csv; upadte: TDE candidate at z=0.02; SN candidate, unknown redshift;; mag_basis=ASAS-SN v_g_mag; mag_value=16.310; mag_band=ASAS-SN V/g",True,15.974,v,OTTER optical photometry (2024arXiv240719019H),2015.6164383561645,36.661461707865406,-20.68746170786541,10,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-30.75627777777778,""host_name"":""2MASX J20390918-3045201"",""name"":""ASASSN-15oi"",""ra_deg"":309.78720833333324,""redshift"":0.0484}",{},1
at2016fnl,AT 2016fnl;iPTF 16fnl,57626.0,57629.45019999998,optical,tde,secure,,"sources=manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2017ApJ...844...46B); mag_value=17.170; mag_band=g; source=manyTDE; spectral_type=H+He; paper_ref=2017ApJ...844...46B; mag_basis=manyTDE flux_Jy AB approximation",True,17.17,g,OTTER optical photometry (2017ApJ...844...46B),2016.650273224044,34.2466547623997,-17.0766547623997,9,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":32.89375,""host_name"":""MRK 950"",""name"":""AT 2016fnl"",""ra_deg"":7.487666666666666,""redshift"":0.0163}",{},1
at2017bcc,AT 2017bcc;ZTF20aacbwbm;SN 2017bcc;PS17bgn,57802.0,,optical,ant,likely,,sources=otter; source=OTTER; TDE ANT SLSN-II; mag_basis=OTTER optical photometry (2024MNRAS.531.1905R); mag_value=16.690; mag_band=c,True,16.69,c,OTTER optical photometry (2024MNRAS.531.1905R),2017.131506849315,38.98141741588706,-22.291417415887057,5,classification review; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":29.9957852105,""host_name"":""SDSS J113152.97+295944.8"",""name"":""AT 2017bcc"",""ra_deg"":172.97078162,""redshift"":0.133}",{},1
at2018dyk,AT 2018dyk;ZTF18aajupnt;WTP18aamced,58269.31,,optical,tde,secure,,sources=otter; source=OTTER; TDE AGN; mag_basis=OTTER optical photometry (2022ApJ...933..196H); mag_value=16.720; mag_band=r,True,16.72,r,OTTER optical photometry (2022ApJ...933..196H),2018.411808219178,36.043281126445315,-19.323281126445316,8,needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":44.535533,""name"":""AT 2018dyk"",""ra_deg"":233.283417,""redshift"":0.03672}",{},1
at2019dsg,AT 2019dsg;ATLAS19klx;ZTF19aapreis;BranStark,58582.0,58603.86600000004,optical,tde,secure,,"sources=asassn_transients,manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry; source=manyTDE; spectral_type=H+He; paper_ref=2021ApJ...908....4V; mag_basis=manyTDE flux_Jy AB approximation; source=input/asassn_transients.csv; known TDE candidate, z=0.0512, discovered 2019/04/09.465; mag_basis=ASAS-SN v_g_mag; mag_value=17.060; mag_band=ASAS-SN V/g",True,17.06,ASAS-SN V/g,OTTER optical photometry,2019.268493150685,36.787965479863445,-19.72796547986345,9,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":14.204405555555557,""host_name"":""WISEA J205702.96+141216.2"",""name"":""AT 2019dsg"",""ra_deg"":314.26237499999996,""redshift"":0.0512}",{},1
at2019von,AT 2019von;ASASSN-19abt,58808.27,,ASAS-SN,possible_tde,possible,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, possible nuclear source, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.820; mag_band=ASAS-SN V/g",True,16.82,ASAS-SN V/g,ASAS-SN v_g_mag,2019.888410958904,,,1,classification review; low-confidence label; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-11.629944444444446,""name"":""AT 2019von"",""ra_deg"":32.4485}",{},1
at2020afhd,AT 2020afhd;ZTF20abwtifz;ATLAS24btc,60344.22,,ZTF,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; known TDE candidate, z=0.024, discovered 2020/10/20 9:46:04.800, Type: TDE; mag_basis=ASAS-SN v_g_mag; mag_value=16.620; mag_band=ASAS-SN V/g",True,16.62,ASAS-SN V/g,ASAS-SN v_g_mag,2024.0934972677596,35.09935200699404,-18.47935200699404,5,classification review; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-2.1519999999999997,""name"":""AT 2020afhd"",""ra_deg"":48.39891666666667,""redshift"":0.024}",{},1
at2020pom,AT 2020pom;ASASSN-20il,59038.18,,ASAS-SN,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, nuclear source, could be a TDE/AGN, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=15.800; mag_band=ASAS-SN V/g",True,15.8,ASAS-SN V/g,ASAS-SN v_g_mag,2020.5168852459017,,,3,classification review; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-22.81447222222222,""name"":""AT 2020pom"",""ra_deg"":75.79708333333332}",{},1
at2020ral,AT 2020ral;ASASSN-20jr,59071.24,,ASAS-SN,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, possibly a nuclear event, could be a TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.550; mag_band=ASAS-SN V/g",True,16.55,ASAS-SN V/g,ASAS-SN v_g_mag,2020.607213114754,,,3,classification review; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":54.76266666666667,""name"":""AT 2020ral"",""ra_deg"":229.32366666666667}",{},1
at2020svp,AT 2020svp;ASASSN-20lk,59100.72,,ASAS-SN,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, possible nuclear source, could be a TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=15.600; mag_band=ASAS-SN V/g",True,15.6,ASAS-SN V/g,ASAS-SN v_g_mag,2020.6877595628416,,,3,classification review; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-30.04877777777778,""name"":""AT 2020svp"",""ra_deg"":207.63666666666663}",{},1
at2020ual,AT 2020ual;ASASSN-20mi,59115.01,,ASAS-SN,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, likely nuclear source, so could also be a TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.680; mag_band=ASAS-SN V/g",True,16.68,ASAS-SN V/g,ASAS-SN v_g_mag,2020.7268032786883,,,3,classification review; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-49.07666666666667,""name"":""AT 2020ual"",""ra_deg"":318.91795833333333}",{},1
at2020ybf,AT 2020ybf;ASASSN-20nh,59142.29,,ASAS-SN,possible_tde,possible,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, nuclear source, could be an AGN, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.780; mag_band=ASAS-SN V/g",True,16.78,ASAS-SN V/g,ASAS-SN v_g_mag,2020.8013387978144,,,1,classification review; low-confidence label; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-67.05522222222221,""name"":""AT 2020ybf"",""ra_deg"":67.44633333333333}",{},1
at2021ehb,AT 2021ehb;ATLAS21jdy;ZTF21aanxhjv;BoKatan,59274.14309030093,59310.95833333334,optical,tde,secure,,"sources=manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2023ApJS..266....9A); mag_value=17.421; mag_band=ztf.r; source=manyTDE; spectral_type=Unknown; paper_ref=2022ApJ...937....8Y; mag_basis=manyTDE flux_Jy AB approximation",True,17.421,ztf.r,OTTER optical photometry (2023ApJS..266....9A),2021.162035863838,34.33911078244007,-16.918110782440074,9,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":40.3112356,""host_name"":""WISEA J030747.82+401840.9"",""name"":""AT 2021ehb"",""ra_deg"":46.9492777,""redshift"":0.017}",{},1
at2021hfu,AT 2021hfu;ASASSN-21ek,59302.16,,ASAS-SN,possible_tde,possible,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, possible nuclear transient, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=15.680; mag_band=ASAS-SN V/g",True,15.68,ASAS-SN V/g,ASAS-SN v_g_mag,2021.238794520548,,,1,classification review; low-confidence label; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":34.93244444444444,""name"":""AT 2021hfu"",""ra_deg"":123.32683333333334}",{},1
at2021msu,AT 2021msu;ATLAS21pis,59366.1,,ATLAS,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; known TDE candidate, z=0.05, discovered 2021/05/19.342; mag_basis=ASAS-SN v_g_mag; mag_value=16.780; mag_band=ASAS-SN V/g",True,16.78,ASAS-SN V/g,ASAS-SN v_g_mag,2021.4139726027397,36.73459039451254,-19.954590394512536,5,classification review; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":9.227666666666666,""name"":""AT 2021msu"",""ra_deg"":223.63625,""redshift"":0.05}",{},1
at2021ncq,AT 2021ncq;ASASSN-21iu,59357.15,,ASAS-SN,possible_tde,possible,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate, nuclear source, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.360; mag_band=ASAS-SN V/g",True,16.36,ASAS-SN V/g,ASAS-SN v_g_mag,2021.3894520547944,,,1,classification review; low-confidence label; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-41.916694444444445,""name"":""AT 2021ncq"",""ra_deg"":16.79629166666667}",{},1
at2023clx,AT 2023clx;ZTF18aabkvpi;ASASSN-23bd;AT 20203clx,59997.21,60001.000000000015,optical,tde,secure,,"sources=asassn_transients,manyTDE,otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2024A&A...689A.350C); mag_value=15.370; mag_band=g; source=manyTDE; spectral_type=; paper_ref=2024arXiv240111773C; mag_basis=manyTDE flux_Jy AB approximation; source=input/asassn_transients.csv; Nuclear source, so could be a TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.400; mag_band=ASAS-SN V/g",True,15.37,g,OTTER optical photometry (2024A&A...689A.350C),2023.1430410958903,33.39782936373564,-18.02782936373564,10,,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":15.327375,""name"":""AT 2023clx"",""ra_deg"":175.039179,""redshift"":0.01107}",{},1
at2023fro,AT 2023fro;ASASSN-23cs,60048.39,,ASAS-SN,tde,secure,,"sources=asassn_transients; source=input/asassn_transients.csv; Nuclear source, so could be a TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=15.880; mag_band=ASAS-SN V/g",True,15.88,ASAS-SN V/g,ASAS-SN v_g_mag,2023.2832602739727,,,6,missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":-48.23894444444444,""name"":""AT 2023fro"",""ra_deg"":316.1134583333333}",{},1
at2023lli,AT 2023lli,60118.09299999988,,optical,tde,secure,,sources=otter; source=OTTER; TDE; mag_basis=OTTER optical photometry (2024ApJ...964L..22H); mag_value=17.273; mag_band=g,True,17.273,g,OTTER optical photometry (2024ApJ...964L..22H),2023.47422739726,35.99913159245395,-18.72613159245395,7,needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":40.54445,""name"":""AT 2023lli"",""ra_deg"":344.414458,""redshift"":0.036}",{},1
at2023uta,AT 2023uta;ASASSN-23hb,60228.38,,ASAS-SN,tde_candidate,likely,,"sources=asassn_transients; source=input/asassn_transients.csv; SN candidate or possible TDE, posted to TNS; mag_basis=ASAS-SN v_g_mag; mag_value=16.560; mag_band=ASAS-SN V/g",True,16.56,ASAS-SN V/g,ASAS-SN v_g_mag,2023.776383561644,,,3,classification review; missing redshift; needs peak epoch,process_failed,IsADirectoryError: [Errno 21] Is a directory: '.',.,,,,,,,,,,,,,,,,,,,,,,,,,process_failed,{},"{""dec_deg"":54.95,""name"":""AT 2023uta"",""ra_deg"":107.40925}",{},1
